"fields_full","Freq"
"2694-2698 Southampton Rd #1",1
"4 Seasons Sports Complex #2",1
"900 Leonardville Rd #1",1
"9v9 County Fields CFY2",1
"Agusta #7",1
"Allen Park #1",1
"Allen's Meadow Complex #1",1
"Allens Meadows Park #3",1
"Alma Turf Field #1",1
"Ambler Farms #1",1
"Annapolis HS Stadium",1
"Appoquinimink High School #1",1
"Archbishop Spalding High School",1
"Arrowbrook Park #1",1
"Arundel HS",1
"Arundel HS Turf",1
"Aviator Sports Complex #1",1
"Aviator Sports Complex #2",1
"Banner Field Turf",1
"BARBOUR POND # 4",1
"Barbour Pond Field #3",1
"Barrie School Field 01",1
"Baymen Soccer Complex #1",1
"Bell Branch Park B",1
"Bell Branch Park D3",1
"Bell Branch Park D5",1
"Berkshire Community College #1",1
"Berkshire Community College #2",1
"Berry Lane Park #1",1
"Bey Lea Soccer Complex FS BL1",1
"Bey Lea Soccer Complex SS BL2",1
"Big Meadow 9v9 #1",1
"Bonner High School",1
"Boys Latin School of Maryland Grass",1
"BRHS-TURF #2",1
"Bruns Park East #1",1
"Bryantown Soccer Complex #3",1
"Bryantown Sports Complex #13",1
"BSC Complex - #4 Grass",1
"Calvert Hall College High School Turf",1
"Calvert Regional Park Turf #4",1
"Calverton School #1",1
"Calverton School Turf",1
"Camp Dawson",1
"Cape Horn Park #4",1
"Capelli Sport Complex (Wayside Rd) #4 SS B",1
"Capelli Sport Field at Sycamore Recreation Complex #5 FS",1
"Cardinal Field #1",1
"Cardinal O'Hara School Turf",1
"Cardinal Stadium #1",1
"Carpenter #1",1
"Carsins Run Field C",1
"Cattell #04",1
"Caven Point - small sided 1 and 2",1
"Caven Point large sided #1",1
"Cedar Creek Park",1
"Cedar Crest College #1",1
"Cedar Hollow Park",1
"Cedar Lane Regional Park #4",1
"Cedar Lane RP (Harford)",1
"Cedar Ridge School #1",1
"Centennial Field #1",1
"Centercourt - Mt Olive #1",1
"Central Park  #2",1
"Central Park (New Britain Rd Entrance) Field 5",1
"Central Park #3",1
"Central Park of Morris County (Field 1) CPM1",1
"Central Valley #29",1
"CFC Field 3",1
"CFC Mount Olive Turf #1",1
"CHAC South",1
"Chancellors Run Complex Field 01",1
"Chancellors Run Complex Field 02",1
"Chase Collegiate #1",1
"Cherokee Street Elementary School #1",1
"Cherry Hill West High School 11v11 Grass",1
"Chesland Soccer Park #1",1
"Christopher Dock High School- Stadium Turf #1",1
"Clarkstown North HS #1",1
"Clarkstown South High School #1",1
"Clifton High School",1
"Cohansey #2",1
"Colonia High School",1
"Comstock #1",1
"Concordia Prep Grass Field 02",1
"Concordia Prep Turf Field 01",1
"Concordia Preparatory School #1",1
"Covenant Park Field 1A",1
"Covenant Park Field 1B",1
"Covenant Park Field 6B",1
"Covered Bridge Park #1",1
"Creamery Park LS4",1
"Crim #1F",1
"Crim #4",1
"Crockett Middle School Full #1",1
"Cross Farm #6",1
"Cross Farm #7",1
"CROSS FARMS FIELD #9",1
"Crown Sports Center Field 07",1
"Crows Woods 1-4",1
"Croydon Hall Turf #1",1
"Dallas HS Stadium #1",1
"Danbury High School Turf",1
"Daniel P. Ryan Football Field #1",1
"DANUBIA SOCCER CLUB #1",1
"Decou Field Complex #1",1
"Deptford SA",1
"Diamond in the Pines #1",1
"Dideriksen Park #2",1
"Dioguardi Field -- Montclair State",1
"Division Ave HS (6) #6",1
"Doc Cramer Sports Complex #1",1
"Donaldson County Park",1
"Dorbrook #1",1
"Dorbrook Full #2",1
"Dorbrook Recreation Area FS1",1
"Dorbrook Recreation Area SS3",1
"Dorbrook SS # 2",1
"Drew University",1
"Drew University Small Sided #1",1
"Drum Point Sports Complex #2",1
"Duderstadt Grass Field",1
"East Brunswick Soccer",1
"Eastern Reg Park Field 02",1
"Eastern Regional Park Grass #2",1
"EASTERN TURF 7 HS7",1
"Echelon Complex 1 EC1",1
"ECPS Fields #1",1
"Edwards #1",1
"Edwards #2",1
"Essex Valley High School",1
"evergreen park #1",1
"Evergreen Sportsplex #4",1
"Evergreen SportsPlex 3A",1
"Evergreen SportsPlex 4A",1
"Fairland Rec 5 Turf",1
"Fairland Rec Park Field 05",1
"Falcon Sports Complex Field 11",1
"Falcon Sports Complex Field11A",1
"fellowship fields #1",1
"Field #3",1
"Field of Dreams #1",1
"Fieldstone Middle School #1",1
"Fieldstone School #1",1
"Franconia Park #4",1
"FS Horse Shoe Lake #11",1
"Ft. Stevens Recreation Center",1
"Garrison Forest School",1
"Garrison Forest School- Hopkins Grass Field #2",1
"General Van Fleet Park",1
"German American Kickers",1
"Gibbons Field #1",1
"Gidney Field",1
"Glenelg High School #1",1
"Gough Park Field 01",1
"Green Acres #19",1
"Greystone Park #4",1
"Gunnel Oval #3",1
"Gunnel Oval Rec Field",1
"Hackley School Benedict Field #1",1
"Hackley School South Turf Field #1",1
"Hackley School-- Benedict Field",1
"Haddonfield Memorial High School",1
"Harford Community College Grass",1
"Heebner #2",1
"Herbert Hoover Elementary FS",1
"Herndon High School #1",1
"Hidden Creek #1",1
"Hidden Creek Park #1",1
"Hillsborough SC - Country Classics #1",1
"Hilltop Park",1
"Holmdel High School Turf",1
"Hommocks Field #1",1
"Hommocks Middle School #1",1
"HTRSA Full Sided #2",1
"HUSA Complex #2",1
"HUSA Complex #5",1
"Indian Creek HS Field 01",1
"Indian Creek Upper School Field #2",1
"Iron Lakes Turf Field #1",1
"Irvington high school #1",1
"Jackson Mills 2 (9v9)",1
"Jackson Mills JM5",1
"Jannarone Park Turf",1
"Jelleff Recreation Center Turf",1
"Jersey Knights Complex",1
"JFK High School Turf",1
"Jim Dietrich Park #2 11v11",1
"John Carroll HS",1
"John J Burns Park #1",1
"John Patrick Sports Complex #1",1
"John Patrick Sports Complex #2",1
"Justice Complex 1B",1
"Kenas #2",1
"Kennedy #2",1
"Kennedy Catholic High School #1",1
"Kennedy Dells Park #2",1
"Kennedy Field Ken",1
"Keystone  Large-Sided #1",1
"Keystone Small-Sided #2",1
"Kinder Park Lower Field 01",1
"King II #2 Lower",1
"Kings Park II Lower",1
"Kings Park II Upper",1
"kirkwood park #2",1
"Lancaster Bible College #1",1
"Landon School Triplett",1
"Latrobe Banner Field",1
"Laurel Hill Park",1
"Lehigh County #12",1
"Lehigh County Large #7",1
"Lehigh County Sports Fields #1",1
"Lehigh County Sports Fields #6",1
"Lehigh U Kaufman D",1
"Lenape Field Complex #3",1
"Lenape Field Complex #4",1
"Lighted Field #3",1
"Lilly Field #1",1
"Lindenhurst Middle School #1",1
"Linover Park",1
"Linover Park #1",1
"Loantaka Brook Park #1",1
"Loisdale Park Turf",1
"Lower Memorial",1
"Lum Turf 1",1
"Lynbrook South Middle School Scoreboa",1
"MacArthur High School #10",1
"Macclesfield Park I",1
"Magruder Park #1",1
"Main WSC #08",1
"Manahasset Creek Park Turf",1
"Manalapan Rec Center B",1
"Manhattanville College Turf",1
"Marine Barracks Field",1
"MARITIME College A",1
"Marlboro Middle School #6",1
"Marlton SC",1
"Marriotts Ridge High School",1
"Marriotts Ridge High School Stadium",1
"Martin Luther King Pk",1
"Martin Luther King Pk Turf",1
"Maryland SoccerPlex #4",1
"Maryland SoccerPlex #8",1
"Maryland SoccerPlex 9A",1
"McDonogh School #13",1
"Md SoccerPlex Field 03",1
"Md SoccerPlex Field 06A",1
"Md SoccerPlex Field 16",1
"Meadowood Regional Park #2",1
"Medford",1
"Memorial Park MG 1",1
"Memorial Sports Complex M02a",1
"Memorial Sports Complex M03",1
"mercer county park field #1",1
"Merle Ave #1",1
"Merrill Park",1
"Metropolitan Oval",1
"Meyer Way Community Park #3",1
"Middletown Village Field #2",1
"Millville Soccer Assoc.-McCafferty #1",1
"MLK Rec Park Turf",1
"Monroe Soccer Complex #6",1
"Monsignor Farrell High School #1",1
"Montclair State University",1
"Montgomery County CC #7",1
"Montville Community Park #1",1
"Montville Community Turf #4",1
"Morris Catholic Lower",1
"Morris United - Jean St #1",1
"Morris United-Ketch Field #1",1
"Mount Saint Joseph High School",1
"MSU â Pittser Field #1",1
"Mt St Mary College #1",1
"Mt. Hebron High School (turf)",1
"Mt. Hebron High School Turf",1
"Mt. Hebron HS Turf",1
"Municipal Park #1",1
"Municipal Park #2",1
"Munro Park #1",1
"Nesbitt Field / Wyoming Seminary HS #1",1
"Newark Academy",1
"Niles Field #1",1
"NLSA-Green Street @ Pennington School Field",1
"NLSA-Independence Park/Stony Brook Elem. Sch. IP-SB",1
"North Brunswick Community Park 1,2,4, 5",1
"North Small #1",1
"Notre Dame Prep",1
"Nut Swamp School",1
"Oak Park SS OP8",1
"Oak Park SS OP9",1
"OBGC #1",1
"Ocean Twp - OTIS O2",1
"Ocean Twp OTIS4",1
"Oceanside Park Turf",1
"Old National Pike Park #4",1
"Old Troy Park #1",1
"OPATUT PARK #5",1
"Ovid Hazen Park Field 01",1
"Owl Hollow OH#3",1
"Owl Howl Soccer Fields #4",1
"Palisades High School #1",1
"Parkside #3",1
"Parkwood Youth Organization #1",1
"Pascack Hill HS",1
"Pasco - PCT High School Soccer field #2",1
"Pawling Sports Complex",1
"PCT Lower Soccer Field #1",1
"PDA 1A SS",1
"PDA South Westampton Sports Complex #1",1
"Pelini Park #7",1
"Penn Fusion Delacy Soccer Complex  #1",1
"Penn Fusion Delacy Soccer Complex #3",1
"Penn Fusion Delacy Soccer Complex #4",1
"Penn Fusion Fellowship Field #1",1
"Penn Fusion Thornbury Soccer Park #2",1
"Penn Legacy East Petersburg Campus #3",1
"Phil Rizzuto",1
"phil rizzuto park",1
"Phil Rizzuto Park #1",1
"Philadelphia Soccer Club  -  Agusta Fields #1",1
"Plumeri Sports Complex St Rose College Turf Field",1
"Polo Field",1
"Ponderosa Park",1
"Pope John Regional Blue Turf",1
"Princeton FC Farmview Fields SF",1
"Princeton Stuart School",1
"Prospect Mill Elementary School #1",1
"Proving Ground #1",1
"PROVING GROUNDS 3",1
"Proving Grounds Field #2",1
"PSC/Agusta A2",1
"PSC/Agusta A7",1
"Pulis #2",1
"Ramapo College B",1
"Ramapo College Women's Grass",1
"Randall Junior High School #1",1
"Randall's #60",1
"Randall's Island #51",1
"Randall's Island #71",1
"Randall's Island #80",1
"Randallâs Island #10",1
"Randallâs Island #50",1
"Randallâs Island #73",1
"Randallâs Island #82",1
"Randallâs Island #90",1
"Randalls #83",1
"Randalls Island #45",1
"Randalls Island #80",1
"Reservoir High School",1
"Richboro Elementary #23",1
"Ridge Road Rec Center DC",1
"Ridge Road Rec Pk Field 04",1
"Ridgewood HS Stadium #1",1
"Ridgewood Park #1",1
"River Hill High School Stadium",1
"RiverFront Park",1
"Robbinsville Community Park #5",1
"Robbinsville Community Park #6",1
"Robbinsville Community Park #7",1
"Robbinsville High School #1",1
"Rosedale Rec Center",1
"Rustin High School Turf Field #1",1
"Rutgers-Busch University Park Turf 2",1
"Saint John Vianney HS",1
"Sandymount Elementary School #1",1
"Sandymount Elementary School #3",1
"Schucks Regional Park",1
"SDFC 09 Fortunato Field HS",1
"Seventh District Elementary School #1",1
"Shelter Cove FS #13",1
"Shelter Cove SS #15",1
"Shissler Rec",1
"Shore Rd Park #1",1
"Sidwell Friends School #1",1
"Soldier #2",1
"Soldier Field 02",1
"Somers High School #2",1
"Somers High School T2",1
"South Run District Park Turf #6",1
"Southern HS #1",1
"Sparta Church Field #1",1
"SPFSA VoTech #1A",1
"Sportfriends Grass Oval",1
"Sportsfriends Turf",1
"Sprague Field #1",1
"St Rose Fields #1",1
"St. James School Turf",1
"St. John Vianney RC",1
"St. Mary's Ryken High School",1
"Stoney Brook Field #1",1
"Stony Brook Field #1",1
"Stony Brook P-Lot #2",1
"Stony Brook University Turf #1",1
"STRONGHOLD SC - Gill St. Bernard's School #1",1
"Summit Investors Field #01",1
"Summit Memorial Varsity #01",1
"SUPERDOME -outdoor turf field",1
"Sussex Academy Field 01",1
"Swim and Sport Club #01",1
"Tamaques Park",1
"Tamaques School",1
"TBD TBD",1
"Temple University - Ambler PA Campus #1",1
"The Proving Grounds 1A",1
"Thompson Park",1
"Thompson Park #2",1
"Tibbetts Brook Park #2",1
"Ticetown",1
"Tickneck Park #1",1
"Tinton Falls",1
"Tinton Falls/Sycamore Soccer Complex #1",1
"Tinton Falls/Sycamore Soccer Complex #2",1
"Tomlinson Middle School #1",1
"Torpey Athletic Complex",1
"TSF Academy",1
"Turk #3",1
"Turkey Brook Park #2",1
"Turkey Swamp Park",1
"Twin Pines 11v11",1
"UASC #2",1
"UASC #5",1
"UASC 6a",1
"UASC 6b",1
"UGH Club #3",1
"Ukrainian Nationals Sports Complex #2",1
"Ukrainian Nationals Sports Complex 5A",1
"United Sports #05",1
"United Sports #07",1
"University of Bridgeport Knights Field #1",1
"Valleybrook #1",1
"Venetian Shores Park #1",1
"Veterans Field",1
"Veterans Park Hamilton 9v9 #1",1
"W.N.Y. Centennial Field #1",1
"Walker Mill RP #1",1
"Wardlaw Hartridge School #1",1
"Warwick Town Park P1",1
"Watsessing Field",1
"Waugh Chapel ES (9v9)",1
"Wayne Hills HS Turf",1
"Wayne Valley High School",1
"WCP #7",1
"Welsh Valley Middle School #1",1
"WEST CALDWELL MEMORIAL FIELD 8 vs 8",1
"Western Reg. Park Field 04",1
"Western Regional Park #5",1
"Wheeler Park #1",1
"White Marsh Park (Eastern Shore) B",1
"White Plains High School Grass #5",1
"White Plains High School Turf #1",1
"Whitemarsh Park E",1
"Wilde Memorial Park #1",1
"Wilson Farm Park #1",1
"World Class Turf #4",1
"WSC-SS #04",1
"WSC-SS #05",1
"WSC-SS 01B",1
"WTHS (11/12) Turf #10",1
"YSC Sports #1",1
