Home,Away,Field
PDA AGUERO U11 Boys EDP,CEDAR STARS ACADEMY NEWARK 2007 GREEN U11 Boys EDP,Unassigned
PDA AGUERO U11 Boys EDP,WAYNE SC QUICK TOUCH 2007 U11 Boys EDP,Unassigned
PDA AGUERO U11 Boys EDP,PRINCETON FC LIVERPOOL U11 Boys EDP,Unassigned
SAN JUAN BAUTISTA 2007B U11 Boys EDP,WEST MORRIS SC PREMIER 07B U11 Boys EDP,Unassigned
WASHINGTON UNITED ELITE '07 BOYS U11 Boys EDP,PRINCETON SA PREMIER ELITE 07 WHITE U11 Boys EDP,Unassigned
SAN JUAN BAUTISTA 2007B U11 Boys EDP,SubDiv A Team 3 U11 Boys EDP,Unassigned
FC SPORTIKA CLUB U11 Boys EDP,ROBBINSVILLE SA RAIDERS U11 Boys EDP,Unassigned
LIVERPOOL FCIA NEW JERSEY REDS U11 Boys EDP,NJ WILDCATS LIONS U11 Boys EDP,Unassigned
WESTFIELD SA COLO COLO U11 Boys EDP,MARLTON GPS NJ PREMIER 07B U11 Boys EDP,Unassigned
WEST NEW YORK WNY TIGERS U11 U11 Boys EDP,SubDiv A Team 4 U11 Boys EDP,Unassigned
STA 2007 BOYS EDP U11 Boys EDP,FC EUROPA 07' PREMIER U11 Boys EDP,Unassigned
WEST NEW YORK WNY TIGERS U11 U11 Boys EDP,SubDiv A Team 4 U11 Boys EDP,Unassigned
GLOBAL GSA 06 JERSEY CITY U12 Boys EDP,UNION CITY UNITED SOCCER FC UNITED JORGE U-12 U12 Boys EDP,Unassigned
BSM ELITE 06B U12 Boys EDP,UNION CITY UNITED SOCCER FC UNITED WILLIAM U12 Boys EDP,Unassigned
KEARNY UNITED REDS 0607 U12 Boys EDP,CLUB VALLEY 2010 LIONS U12 Boys EDP,Unassigned
NY STARS PREMIER SCORPIO U12 Boys EDP,PLAYERS EYE FC BOYS 2006 U12 Boys EDP,Unassigned
UNION CITY UNITED SOCCER FC UNITED WILLIAM U12 Boys EDP,SubDiv A Team 4 U12 Boys EDP,Unassigned
SubDiv A Team 4 U12 Boys EDP,CLUB VALLEY 2010 LIONS U12 Boys EDP,Unassigned
WESTFIELD SA UNION COUNTY FC PREMIER FLAMENGO U12 Boys EDP,STA-MUSC 2006B EDP U12 Boys EDP,Unassigned
CLUB VALLEY 2010 LIONS U12 Boys EDP,UNION CITY UNITED SOCCER FC UNITED WILLIAM U12 Boys EDP,Unassigned
CLUB VALLEY 2010 LIONS U12 Boys EDP,UNION CITY UNITED SOCCER FC UNITED JORGE U-12 U12 Boys EDP,Unassigned
TITANES ESTUDIANTES U12 Boys EDP,WAYNE SC QUICK TOUCH 2006 U12 Boys EDP,Unassigned
ARSENAL SOCCER SCHOOLS ACADEMY 2006 WRIGHT U12 Boys EDP,JERSEY CREW SC GRIFFINS U12 Boys EDP,
CEDAR STARS ACADEMY BERGEN WEST U12 NOVA WHITE U12 Boys EDP,SPORTING PREMIER FC SCP 2006 U12 Boys EDP,Unassigned
PDA ZIDANE U12 Boys EDP,MATCH FIT ACADEMY FC PRE ECNL 06 HEAT U12 Boys EDP,Unassigned
WESTFIELD SA UNION COUNTY FC PREMIER FLAMENGO U12 Boys EDP,SCOTCH PLAINS FANWOOD SA SPF VANPERSIE U12 Boys EDP,Unassigned
UNION CITY UNITED SOCCER FC UNITED WILLIAM U12 Boys EDP,UNION CITY UNITED SOCCER FC UNITED JORGE U-12 U12 Boys EDP,Unassigned
SDFC 2006B YELLOW U12 Boys EDP,WAYNE SC QUICK TOUCH 2006 U12 Boys EDP,Unassigned
UNION CITY UNITED SOCCER FC UNITED WILLIAM U12 Boys EDP,SubDiv A Team 6 U12 Boys EDP,Unassigned
PDA ZIDANE U12 Boys EDP,WASHINGTON UNITED 06 U12 Boys EDP,Unassigned
WORLD CLASS FC '06 NJ WHITE U12 Boys EDP,CLARKSTOWN 2006 WHITE U12 Boys EDP,Unassigned
PDA ZIDANE U12 Boys EDP,FC COPA ACADEMY B06 BLACK U12 Boys EDP,Unassigned
SubDiv A Team 5 U12 Boys EDP,UNION CITY UNITED SOCCER FC UNITED JORGE U-12 U12 Boys EDP,Unassigned
MERAKI F.C. PRE ACADEMY 2006 U12 Boys EDP,EPIC SPORTING STARS 2006/2007 BLUE U12 Boys EDP,Unassigned
ELIZABETH YSC LIONS U12 Boys EDP,CEDAR STARS ACADEMY NEWARK 2006 WHITE U12 Boys EDP,
DUTCH ELITE '05 BOYS U13 Boys EDP,JERSEY CREW SC JAGUARS U13 Boys EDP,Unassigned
SubDiv A Team 3 U13 Boys EDP,WEST NEW YORK S.C. WNY TIGERS U13 U13 Boys EDP,Unassigned
HENLOPEN STINGRAYS U13 Boys EDP,EWING UNITED FORCE U13 Boys EDP,Unassigned
EAST BRUNSWICK STA TITANS U13 Boys EDP,CLUB VALLEY 2010 DREAM CHASERS U13 Boys EDP,Unassigned
UNIVERSAL USCSOCCER05 U13 Boys EDP,FREEHOLD SL SCORPIONS BLUE U13 Boys EDP,Unassigned
JERSEY UNITED SOCCER SPARTANS 05B U13 Boys EDP,JERSEY STARS JUVENTUS U13 Boys EDP,Unassigned
FC SPORTIKA ACADEMY 2005B U13 Boys EDP,NJ WILDCATS UNION U13 Boys EDP,Unassigned
OLD BRIDGE SL CREW U13 Boys EDP,ELITE PLAINFIELD ELITE REVOLUTION U13 Boys EDP,Unassigned
WEST NEW YORK S.C. WNY TIGERS U13 U13 Boys EDP,EAST BRUNSWICK STA TITANS U13 Boys EDP,Unassigned
FC SPORTIKA ACADEMY 2005B U13 Boys EDP,WSC ELITE BREAKERS U13 Boys EDP,Unassigned
DEPTFORD PREMIER FC '05 THUNDER U13 Boys EDP,CEDAR STARS ACADEMY MONMOUTH B-2005 GREEN U13 Boys EDP,Unassigned
WATCHUNG HILLS NJ ELITE 2005B PSV U13 Boys EDP,CEDAR STARS ACADEMY BERGEN 2005 GREEN U13 Boys EDP,Unassigned
UNION CITY UNITED SOCCER FC UNITED SAUL U-14 U14 Boys EDP,WEST NEW YORK S.C. WNY TIGERS U14 U14 Boys EDP,Unassigned
SubDiv A Team 4 U14 Boys EDP,UNION CITY UNITED SOCCER FC UNITED SAUL U-14 U14 Boys EDP,Unassigned
WEST NEW YORK S.C. WNY TIGERS U14 U14 Boys EDP,A.S. JUNIOR ELITE - 2004 BOYS U14 Boys EDP,Unassigned
PDA HIBERNIAN DRAXLER U14 Boys EDP,WAYNE SC QUICK TOUCH 2004 U14 Boys EDP,Unassigned
WEST NEW YORK S.C. WNY TIGERS U14 U14 Boys EDP,AC MILAN OF N J AC MILAN U14 Boys EDP,Unassigned
CEDAR STARS ACADEMY BERGEN 2004 U14 Boys EDP,PARSIPPANY SC 2004 BOYS ACADEMY BLUE U14 Boys EDP,Unassigned
YMS PREMIER THUNDER 04 U14 Boys EDP,LOWER MERION AMBUSH U14 Boys EDP,
FC SPORTIKA PRE-ACADEMY 2004B U14 Boys EDP,PHILADELPHIA UKRAINIAN NATIONALS 04 RED U14 Boys EDP,Unassigned
HMMS FC ATLETICO U14 Boys EDP,DELAWARE FOOTBALL DEFC 04 BOYS U14 Boys EDP,Unassigned
LAKE GROVE NEWFIELD SC DYNAMITE U15 Boys EDP,DEN OF LIONS GUNNERS U15 Boys EDP,Unassigned
ABINGDON FOOTBALL FURY U15 Boys EDP,LA PLATA SPARTANS 03/04 U15 Boys EDP,
NJ WILDCATS 04 U15 Boys EDP,NJ WILDCATS WAVE UNITED U15 Boys EDP,Unassigned
AMERICAS UNITED MANCHESTER U15 Boys EDP,VALENCIA CF ACADEMY NY 2003 WHITE U15 Boys EDP,Unassigned
MARYLAND RUSH RUSH 03B U15 Boys EDP,ASA FC ATLETICO JUVENIL 03 U15 Boys EDP,Unassigned
NIRVANA 360 MILAN 03 U15 Boys EDP,VALENCIA CF ACADEMY NY 2003 BLACK U15 Boys EDP,Unassigned
WESTFIELD SA MONTERREY U15 Boys EDP,SPORTING PREMIER FC SCP 2003 U15 Boys EDP,Unassigned
WSC RANGERS U15 Boys EDP,FC SPORTIKA 2003 BOYS U15 Boys EDP,Unassigned
HOLMDEL FC NJX VALENCIA U15 Boys EDP,SCOTCH PLAINS FANWOOD SA SPF RONALDO U15 Boys EDP,Unassigned
LIGHTHOUSE SOCCER 2002'S U16 Boys EDP,SOLEBURY SC SSC FURY U16 Boys EDP,Unassigned
PARKLAND AREA PASC RED DEVILS U16 Boys EDP,SOMERSET COUNTY FC PIT 02B U16 Boys EDP,Unassigned
LAWRENCE HAMNETT SA LIONS U16 Boys EDP,BUCKINGHAM UNITED BLUE 2002 U16 Boys EDP,Unassigned
OCEAN TOWNSHIP UNITED SA 02 ELITE U16 Boys EDP,LAWRENCE HAMNETT SA LIONS U16 Boys EDP,Unassigned
PDA SHORE BAGGIO 2001 U17 Boys EDP,WEST NEW YORK S.C. WNY TIGER 01-02 U17 Boys EDP,Unassigned
FAIRMOUNT UNITED PHILLY SOCCER 2001 BOYS BLUE U17 Boys EDP,LIVERPOOL FCIA REDS U17 Boys EDP,Unassigned
BOUND BROOK FC B.B LEGENDS U17 Boys EDP,PA RUSH '01 U17 Boys EDP,Unassigned
LIVERPOOL FCIA REDS U17 Boys EDP,OCEAN TOWNSHIP UNITED SA 01/02 ELITE WHITE U17 Boys EDP,Unassigned
MONMOUTH UNITED SC STRIKERS U17 Boys EDP,LIVERPOOL FCIA REDS U17 Boys EDP,Unassigned
LIVERPOOL FCIA REDS U17 Boys EDP,SWSA CYCLONES U17 Boys EDP,Unassigned
FC SPORTIKA 2001 BOYS U17 Boys EDP,OCEAN TOWNSHIP UNITED SA 01 ELITE RED U17 Boys EDP,Unassigned
FCUSA MARYLAND BLACK 01 U17 Boys EDP,ALLIANCE (ARGONAUTS) PREMIER 01 U17 Boys EDP,Unassigned
MONMOUTH UNITED SC KNIGHTS U19 Boys EDP,NIRVANA 360 FC CITY '00 U19 Boys EDP,Unassigned
FA EURO NEW YORK 2000 U19 Boys EDP,NEW YORK SURF SC GOLDEN TOUCH 99B ACADEMY U19 Boys EDP,Unassigned
NEW YORK SURF SC GOLDEN TOUCH 99B ACADEMY U19 Boys EDP,FA EURO NEW YORK 2000 U19 Boys EDP,Unassigned
COUNCIL ROCK UNITED FC BUCKS WARRIORS U19 Boys EDP,VALENCIA CF ACADEMY NY 2000 BLACK U19 Boys EDP,Unassigned
TSF ACADEMY 2007G U11 Girls EDP,CLARKSTOWN '07 ELITE SAMIMI U11 Girls EDP,
TSF ACADEMY 2007G U11 Girls EDP,WORLD CLASS FC REVOLUTION RED U11 Girls EDP,
NIRVANA 360 FREEDOM U12 Girls EDP,JERSEY CREW SC LYNX U12 Girls EDP,Unassigned
FC COPA ACADEMY G06 BLACK U12 Girls EDP,CENTERCOURT FC 06G GREEN U12 Girls EDP,Unassigned
YMS FREEDOM 06 U12 Girls EDP,NEW JERSEY RUSH 06 GREY U12 Girls EDP,Unassigned
TSF ACADEMY 2006G U12 Girls EDP,WIZARDS SPORTS ISTA ELITE U12 Girls EDP,
PASCO TIMBERS U12 Girls EDP,JERSEY CREW SC CHEETAHS U12 Girls EDP,Unassigned
WESTFIELD SA UNION COUNTY FC PREMIER SAO PAULO U12 Girls EDP,MORRIS ELITE 06G EDP U12 Girls EDP,Unassigned
NIRVANA 360 FREEDOM U12 Girls EDP,EDISON UNITED SA REAL BLAST U12 Girls EDP,Unassigned
TSF ACADEMY 2006G U12 Girls EDP,CEDAR STARS ACADEMY BEGEN 2006 GREEN U12 Girls EDP,
WESTFIELD SA UNION COUNTY FC PREMIER SAO PAULO U12 Girls EDP,HOLMDEL FC NJX FLASH U12 Girls EDP,Unassigned
SDFC 2006G YELLOW U12 Girls EDP,STA 2006G EDP U12 Girls EDP,Unassigned
TSF ACADEMY 2006G U12 Girls EDP,CENTERCOURT FC 06 GREEN'S U12 Girls EDP,
MATCH FIT MONTCLAIR UNITED 2006 GIRLS U12 Girls EDP,WEST MORRIS SC PREMIER 06G U12 Girls EDP,Unassigned
CEDAR STARS ACADEMY BERGEN 2005 GREEN U13 Girls EDP,CENTERCOURT FC 05 GREEN U13 Girls EDP,Unassigned
CEDAR STARS ACADEMY BERGEN 2005 GREEN U13 Girls EDP,A-GAME 2005 U13 Girls EDP,Unassigned
CEDAR STARS ACADEMY MORRIS COUNTY 2005 U13 Girls EDP,NEXT LEVEL SA 05 GIRLS U13 Girls EDP,Unassigned
LDC UNITED LDC IMPACT 05 U13 Girls EDP,SAC PREMIER BLUE 05 U13 Girls EDP,Unassigned
PRINCETON SA PREMIER ELITE 05 U13 Girls EDP,WEST MORRIS SC PREMIER 05 RED U13 Girls EDP,Unassigned
BEEKMAN FIRE ELITE U14 Girls EDP,LEVITTOWN LADY GALAXY U14 Girls EDP,Unassigned
TSF ACADEMY 2004G U14 Girls EDP,TWIN COUNTY SA SKY BLUE 2004 U14 Girls EDP,
VILLAGE OF THE BRANCH G04 UNITED U14 Girls EDP,BEEKMAN FIRE ELITE U14 Girls EDP,Unassigned
NIRVANA 360 COURAGE U14 Girls EDP,NYXFC NYXTREME U14 Girls EDP,Unassigned
SPORTFRIENDS SC BANSHEES U14 Girls EDP,BERKELEY HEIGHTS YSC UNITED U14 Girls EDP,Unassigned
SPORTFRIENDS SC BANSHEES U14 Girls EDP,WAYNE BOYS AND GIRLS PIRO U14 Girls EDP,Unassigned
TSF ACADEMY 2004G U14 Girls EDP,ARSENAL ORDNANCE U14 Girls EDP,
VILLAGE OF THE BRANCH G04 UNITED U14 Girls EDP,CONNECTICUT FC CFC SOUTH ORANGE 2004 U14 Girls EDP,Unassigned
BEEKMAN FIRE ELITE U14 Girls EDP,SOUTH CENTRAL PREMIER U14 Girls EDP,Unassigned
BEEKMAN FIRE ELITE U14 Girls EDP,CFC SOUND 2004 U14 Girls EDP,Unassigned
CONNECTICUT FC CFC SOUTH ORANGE 2004 U14 Girls EDP,BEEKMAN FIRE ELITE U14 Girls EDP,Unassigned
SPORTFRIENDS SC BANSHEES U14 Girls EDP,CENTERCOURT FC 04 BLUE U14 Girls EDP,Unassigned
PARSIPPANY SC 2003 ACADEMY BLUE U15 Girls EDP,PDA SHORE SURF U15 Girls EDP,Unassigned
PDA SHORE SURF U15 Girls EDP,JERSEY SOUTH FC GALAXY U15 Girls EDP,Unassigned
EAST BRUNSWICK SC STRIKERS FC U15 Girls EDP,BROOKLYN CITY F.C. G03 U15 Girls EDP,Unassigned
MAINLAND UNITED SA AMBUSH U15 Girls EDP,FOX CHASE ARMADA U15 Girls EDP,Unassigned
TBA U15 Girls EDP,PENN FUSION SA PREACADEMY 2003 (RADU) U15 Girls EDP,Unassigned
PATRIOT FC 03 RED U15 Girls EDP,EAST BRUNSWICK SC STRIKERS FC U15 Girls EDP,Unassigned
WATCHUNG HILLS NJ ELITE 2002G FUSION U16 Girls EDP,FC BERNA LEGACY 02G BLACK U16 Girls EDP,Unassigned
YMS HEAT U16 Girls EDP,WARRINGTON WHITE WILDCATS U16 Girls EDP,Unassigned
PATRIOT FC RED DRAGONS U16 Girls EDP,YMS HEAT U16 Girls EDP,Unassigned
MD RUSH MONTGOMERY RUSH '01G U17 Girls EDP,SAC PREMIER BLUE U17 Girls EDP,Unassigned
FC BERNA LEGACY 01G BLACK U17 Girls EDP,YMS PREMIER 01 BANSHEES U17 Girls EDP,Unassigned
PENN ALLIANCE SELECT BLACK LIGHTNING U19 Girls EDP,HMMS EAGLE FC VILLA '99 U19 Girls EDP,Unassigned
MANALAPAN MAYHEM U19 Girls EDP,PENN FUSION SA PREACADEMY 2000 (BISSETT) U19 Girls EDP,Unassigned
PENN FUSION SA PREACADEMY 2000 (BISSETT) U19 Girls EDP,PHILADELPHIA UKRAINIAN NATIONALS VORSKLA BLACK U19 Girls EDP,Unassigned