"Home","Age.Group","Gender","Freq"
"LOWER MERION LMSC AVENGERS U17 Girls EDP","U17","Girls",1
"LOWER MERION SC PRIDE U16 Girls EDP","U16","Girls",1
"LOWER MERION SOCHERS U14 Girls EDP","U14","Girls",1
"LTSC 2002 UNITED U16 Boys EDP","U16","Boys",1
"LTSC 2005 (GREEN) U13 Boys EDP","U13","Boys",1
"LTSC 2005 (WHITE) U13 Girls EDP","U13","Girls",1
"LTSC 2006 THUNDER (PURPLE) U12 Girls EDP","U12","Girls",1
"LYNBROOK/EAST ROCKAWAY SC STING U16 Boys EDP","U16","Boys",1
"MAINLAND UNITED SA UNION U16 Boys EDP","U16","Boys",1
"MANALAPAN HEAT U19 Boys EDP","U19","Boys",1
"MANALAPAN MAYHEM U19 Girls EDP","U19","Girls",1
"MANALAPAN REVOLUTION U15 Boys EDP","U15","Boys",1
"MANHATTAN SC FREEDOM U13 Boys EDP","U13","Boys",1
"MARLTON SC LIGHTNING PREMIER 03 U15 Boys EDP","U15","Boys",1
"MAROONS SC 02-03 U16 Boys EDP","U16","Boys",1
"MARYLAND RUSH NERO 01 U17 Boys EDP","U17","Boys",1
"MARYLAND RUSH RUSH 00G NPL U18 Girls EDP","U18","Girls",1
"MARYLAND RUSH RUSH 01G NPL U17 Girls EDP","U17","Girls",1
"MARYLAND UNITED FC 2004 PREMIER U14 Boys EDP","U14","Boys",1
"MATRIX MAVERICKS U12 Boys EDP","U12","Boys",1
"MD RUSH MONTGOMERY '02G DRAGONS U16 Girls EDP","U16","Girls",1
"MD RUSH MONTGOMERY BLUE '02G U16 Girls EDP","U16","Girls",1
"MD RUSH MONTGOMERY RUSH '01G U17 Girls EDP","U17","Girls",1
"MD RUSH MONTGOMERY RUSH BLUE '02B U16 Boys EDP","U16","Boys",1
"MEDFORD SC UNITED U13 Girls EDP","U13","Girls",1
"MEDFORD STRIKERS ACADEMY U16 Boys EDP","U16","Boys",1
"MERAKI F.C. PRE ACADEMY 2004 U14 Boys EDP","U14","Boys",1
"MET OVAL 2001B U17 Boys EDP","U17","Boys",1
"MILLVILLE SA MILLVILLE PRIDE U15 Girls EDP","U15","Girls",1
"MONMOUTH UNITED SC SHARKS U16 Boys EDP","U16","Boys",1
"MONROE TOWNSHIP YS BRITTAINIA 06 U12 Girls EDP","U12","Girls",1
"MONROE TOWNSHIP YS UNITED 02 U16 Girls EDP","U16","Girls",1
"MRM RUSH NERO U17 Boys EDP","U17","Boys",1
"MT OLIVE SC PREMIER 2002 RED U16 Boys EDP","U16","Boys",1
"MT OLIVE SC PREMIER BLACK 01 U17 Boys EDP","U17","Boys",1
"NASA UNITED AC MILAN U13 Boys EDP","U13","Boys",1
"NASA UNITED ATLETICO MADRID U12 Boys EDP","U12","Boys",1
"NEW JERSEY RUSH 03 GIRLS GREY U15 Girls EDP","U15","Girls",1
"NEW YORK RED BULLS RDS NJ 07 U11 Boys EDP","U11","Boys",1
"NEW YORK SC ELITE G07 EDP U11 Girls EDP","U11","Girls",1
"NEW YORK SURF B04 LI U14 Boys EDP","U14","Boys",1
"NEW YORK SURF SC GOLDEN TOUCH 99B ACADEMY U19 Boys EDP","U19","Boys",1
"NEXT LEVEL SA 05 GIRLS U13 Girls EDP","U13","Girls",1
"NIRVANA 360 FC '01 U17 Boys EDP","U17","Boys",1
"NIRVANA 360 FC CITY '00 U19 Boys EDP","U19","Boys",1
"NIRVANA 360 MILAN 03 U15 Boys EDP","U15","Boys",1
"NJ STALLIONS ACADEMY 04 ROMA EDP U14 Boys EDP","U14","Boys",1
"NJ WILDCATS WAVE UNITED U15 Boys EDP","U15","Boys",1
"NLS AJAX 00 U18 Boys EDP","U18","Boys",1
"NLS AJAX 01 U17 Boys EDP","U17","Boys",1
"NY STARS PREMIER COMETS U15 Boys EDP","U15","Boys",1
"NY STARS PREMIER PEGASUS U16 Boys EDP","U16","Boys",1
"NY XTREME FC NYXFC05G U13 Girls EDP","U13","Girls",1
"OBGC FREEDOM BLUE U17 Girls EDP","U17","Girls",1
"OBGC RANGERS BLUE U16 Boys EDP","U16","Boys",1
"OCEAN TOWNSHIP UNITED SA 01 ELITE RED U17 Boys EDP","U17","Boys",1
"OCEAN TOWNSHIP UNITED SA 01/02 ELITE WHITE U17 Boys EDP","U17","Boys",1
"OCEAN TOWNSHIP UNITED SA 02 ELITE U16 Boys EDP","U16","Boys",1
"OCEAN UNITED SA HURRICANES U16 Girls EDP","U16","Girls",1
"OCEAN UNITED SA TITANS - RED U13 Boys EDP","U13","Boys",1
"OCEANSIDE UNITED SC STRIKERS U16 Boys EDP","U16","Boys",1
"OLD BRIDGE GIRLS SOCCER IMPACT U11 Girls EDP","U11","Girls",1
"OPSA MAGIC U15 Girls EDP","U15","Girls",1
"PA RUSH ACADEMY 06 U12 Girls EDP","U12","Girls",1
"PA RUSH NERO BLUE 04 U14 Girls EDP","U14","Girls",1
"PACHUCA FC USA DRAGONS 02 U16 Boys EDP","U16","Boys",1
"PACHUCA FC USA PACHUCA UFC '99 U19 Boys EDP","U19","Boys",1
"PARKLAND AREA PASC RED DEVILS U16 Boys EDP","U16","Boys",1
"PARSIPPANY SC 2002 WHITE U16 Boys EDP","U16","Boys",1
"PASADENA THUNDER U14 Girls EDP","U14","Girls",1
"PASCO THUNDER U13 Boys EDP","U13","Boys",1
"PATRIOT FC RED U13 Girls EDP","U13","Girls",1
"PDA DASH U11 Girls EDP","U11","Girls",1
"PDA HIBERNIAN POGBA U12 Boys EDP","U12","Boys",1
"PDA SHORE 2002 SUAREZ U16 Boys EDP","U16","Boys",1
"PDA SHORE 2003 OZIL U15 Boys EDP","U15","Boys",1
"PDA SHORE 2004 THIAGO U14 Boys EDP","U14","Boys",1
"PDA SHORE BAGGIO 2001 U17 Boys EDP","U17","Boys",1
"PDA SHORE SURF U15 Girls EDP","U15","Girls",1
"PENINSULA PREMIER EAGLES U15 Boys EDP","U15","Boys",1
"PENINSULA SC VILLA EAGLES U11 Boys EDP","U11","Boys",1
"PENINSULA UNITED EAGLES U15 Boys EDP","U15","Boys",1
"PENN FUSION SA PREACADEMY 2000 (BISSETT) U19 Girls EDP","U19","Girls",1
"PENN FUSION SA PREACADEMY 2001 (CRAIGIE) U17 Girls EDP","U17","Girls",1
"PENN FUSION SA PREACADEMY 2003 (RADU) U15 Girls EDP","U15","Girls",1
"PERFECT TOUCH SA G-2003 U15 Girls EDP","U15","Girls",1
"PHILADELPHIA UKRAINIAN NATIONALS '05 RED U13 Boys EDP","U13","Boys",1
"PHILADELPHIA UKRAINIAN NATIONALS 06 BLACK U12 Boys EDP","U12","Boys",1
"PHILADELPHIA UKRAINIAN NATIONALS 07 OLYMPYK BLACK U11 Girls EDP","U11","Girls",1
"PHILADELPHIA UKRAINIAN NATIONALS 2004 BLACK U14 Boys EDP","U14","Boys",1
"PHILADELPHIA UKRAINIAN NATIONALS VORSKLA BLACK U19 Girls EDP","U19","Girls",1
"PHILADELPHIA UKRAINIAN NATIONALS ZORIA RED U16 Boys EDP","U16","Boys",1
"PHILADELPHIA UKRAINIAN NATIONALS ZORIANY 05 BLACK U13 Girls EDP","U13","Girls",1
"PIPELINE SC BLACK U12 Girls EDP","U12","Girls",1
"PIPELINE SC BLACK U15 Boys EDP","U15","Boys",1
"PIPELINE SC GOLD U12 Boys EDP","U12","Boys",1
"PIPELINE SC RED U13 Boys EDP","U13","Boys",1
"PISCATAWAY SC LAZIO U18 Boys EDP","U18","Boys",1
"PISCATAWAY SC LAZIO U19 Boys EDP","U19","Boys",1
"PISCATAWAY SC LIVERPOOL U16 Boys EDP","U16","Boys",1
"PRINCETON FC EVERTON U18 Boys EDP","U18","Boys",1
"PRINCETON SA PREMIER ELITE 04 U14 Boys EDP","U14","Boys",1
"RANCOCAS VALLEY SC 05 UNITED U12 Boys EDP","U12","Boys",1
"READING RAGE '01 MORGAN U17 Girls EDP","U17","Girls",1
"SABA NYC G07 U11 Girls EDP","U11","Girls",1
"SAC PREMIER BLUE 05 U13 Boys EDP","U13","Boys",1
"SAC PREMIER BLUE U17 Girls EDP","U17","Girls",1
"SALISBURY UNITED SC 03 GOLD U15 Girls EDP","U15","Girls",1
"SALISBURY UNITED SC 07 GOLD U11 Boys EDP","U11","Boys",1
"SCOTCH PLAINS FANWOOD SA SPF HEATH U15 Girls EDP","U15","Girls",1
"SCOTCH PLAINS FANWOOD SA SPF MORGAN U13 Boys EDP","U13","Boys",1
"SDFC 2004B YELLOW U14 Boys EDP","U14","Boys",1
"SDFC 2005B YELLOW U13 Boys EDP","U13","Boys",1
"SDFC 2005G YELLOW U13 Girls EDP","U13","Girls",1
"SDFC 2006B BLACK U12 Boys EDP","U12","Boys",1
"SDFC 2007G YELLOW U11 Girls EDP","U11","Girls",1
"SEVERNA PARK LASERS U18 Girls EDP","U18","Girls",1
"SEVERNA PARK PREMIER GREEN U13 Boys EDP","U13","Boys",1
"SEVERNA PARK REIGN U19 Boys EDP","U19","Boys",1
"SFL DONOVAN U11 Boys EDP","U11","Boys",1
"SFL REVOLUTION U14 Boys EDP","U14","Boys",1
"SILVER LAKE SA FREEDOM U11 Girls EDP","U11","Girls",1
"SJEB RUSH 04 GIRLS PREMIER BLUE U14 Girls EDP","U14","Girls",1
"SJEB RUSH 04 GIRLS PREMIER WHITE U14 Girls EDP","U14","Girls",1
"SJEB RUSH 05 GIRLS PREMIER BLUE U13 Girls EDP","U13","Girls",1
"SOMERSET COUNTY FC PIT 00B U19 Boys EDP","U19","Boys",1
"SOMERSET COUNTY FC PIT 01B U17 Boys EDP","U17","Boys",1
"SOMERSET COUNTY FC PIT 02B U16 Boys EDP","U16","Boys",1
"SPANISH AMERICAN FOOTBALL ACADEMY ATHLETIC BILBAO U12 Boys EDP","U12","Boys",1
"SPANISH AMERICAN FOOTBALL ACADEMY BARCA U14 Boys EDP","U14","Boys",1
"SPORTING PREMIER FC SCP  FORCE 05 U13 Girls EDP","U13","Girls",1
"SPORTING PREMIER SCP 2004 U14 Boys EDP","U14","Boys",1
"ST. JOHN VIANNEY WILDCATS U17 Girls EDP","U17","Girls",1
"ST. MARY'S SOCCER OSPREYS U18 Girls EDP","U18","Girls",1
"ST. THOMAS MORE SC RED DEVILS U17 Boys EDP","U17","Boys",1
"STA 2003G EDP U15 Girls EDP","U15","Girls",1
"STA 2006G EDP U12 Girls EDP","U12","Girls",1
"STA 2007G U11 Girls EDP","U11","Girls",1
"STA-MUSC 2004G NPL U14 Girls EDP","U14","Girls",1
"STA-MUSC 2005G NPL U13 Girls EDP","U13","Girls",1
"STA-MUSC 2007B NPL U11 Boys EDP","U11","Boys",1
"STATELINE SC 03 WILD U15 Boys EDP","U15","Boys",1
"STATEN ISLAND YOUNG STARS U16 Boys EDP","U16","Boys",1
"SubDiv A Team 3 U11 Boys EDP","U11","Boys",1
"SubDiv A Team 3 U13 Boys EDP","U13","Boys",1
"SubDiv A Team 4 U12 Boys EDP","U12","Boys",1
"SubDiv A Team 4 U13 Boys EDP","U13","Boys",1
"SubDiv A Team 4 U14 Boys EDP","U14","Boys",1
"SUMMIT SC SUMMIT CITY U12 Boys EDP","U12","Boys",1
"SWSA CYCLONES U17 Boys EDP","U17","Boys",1
"TBA U13 Boys EDP","U13","Boys",1
"TBA U15 Girls EDP","U15","Girls",1
"TITANES DELFINES U13 Boys EDP","U13","Boys",1
"TOCA JUNIORS FC HUSKIES U17 Boys EDP","U17","Boys",1
"TOMS RIVER FUTBOL ATHLETICO U15 Boys EDP","U15","Boys",1
"TOMS RIVER INDEPENDENT SC TRIC ELITE BOYS 2002 REBELS U16 Boys EDP","U16","Boys",1
"TSF ACADEMY 2001G U16 Girls EDP","U16","Girls",1
"TWIN COUNTY SA SPIRIT 2002 U16 Girls EDP","U16","Girls",1
"UNION CITY UNITED SOCCER FC UNITED ANTONIO SFC U15 Boys EDP","U15","Boys",1
"UNION CITY UNITED SOCCER FC UNITED JORGE U-12 U12 Boys EDP","U12","Boys",1
"UNION COUNTY FC PREMIER UCFC BASEL U15 Girls EDP","U15","Girls",1
"UNIVERSAL USC 04 U14 Boys EDP","U14","Boys",1
"UPPER FREEHOLD/ ALLENTOWN SA (NJ) UFA FORCE U16 Boys EDP","U16","Boys",1
"UPPER FREEHOLD/ALLENTOWN SA TORNADOS U12 Boys EDP","U12","Boys",1
"UPPER FREEHOLD/ALLENTOWN SA UFA ELITE U16 Girls EDP","U16","Girls",1
"VALENCIA 05B BLACK U13 Boys EDP","U13","Boys",1
"VALENCIA 06 ORANGE U12 Boys EDP","U12","Boys",1
"VISTULA GARFIELD FLAMEKICKERS U13 Girls EDP","U13","Girls",1
"VISTULA GARFIELD ROYALS U14 Boys EDP","U14","Boys",1
"VISTULA GARFIELD STARS U12 Boys EDP","U12","Boys",1
"VITESSE FC WONDER U15 Girls EDP","U15","Girls",1
"VOORHEES SA FURY U19 Boys EDP","U19","Boys",1
"VOORHEES SA UNITED FC U19 Girls EDP","U19","Girls",1
"WARRINGTON SC FC FUSION U15 Girls EDP","U15","Girls",1
"WARRINGTON WHITE WILDCATS U16 Girls EDP","U16","Girls",1
"WARWICK SOCCER STRIKEFORCE 2006 U12 Boys EDP","U12","Boys",1
"WASHINGTON UNITED FEVER 03 U15 Girls EDP","U15","Girls",1
"WASHINGTON UNITED FURY 04 ELITE U14 Boys EDP","U14","Boys",1
"WATCHUNG HILLS NJ ELITE 2002G FUSION U16 Girls EDP","U16","Girls",1
"WAYNE BOYS AND GIRLS MESSERCOLA U14 Boys EDP","U14","Boys",1
"WAYNE SC MILAN 2005-2006 U13 Boys EDP","U13","Boys",1
"WEST NEW YORK S.C. WNY TIGER 01-02 U17 Boys EDP","U17","Boys",1
"WEST-MONT UNITED SA PREMIER BLUE '03 U15 Girls EDP","U15","Girls",1
"WEST-MONT UNITED SA UNITED 2007 U11 Girls EDP","U11","Girls",1
"WESTCHESTER FLAMES 01 U17 Boys EDP","U17","Boys",1
"WESTCHESTER FLAMES 02 BOYS U16 Boys EDP","U16","Boys",1
"WESTERN LEHIGH UNITED FIRE U12 Boys EDP","U12","Boys",1
"WESTFIELD SA UNION COUNTY FC PREMIER PUMAS U13 Boys EDP","U13","Boys",1
"WORLD CLASS FC '06 NJ RED U12 Boys EDP","U12","Boys",1
"WORLD CLASS FC '06 NJ RED U12 Girls EDP","U12","Girls",1
"XAFC NJ WHITE U14 Boys EDP","U14","Boys",1
"YMS HEAT U16 Girls EDP","U16","Girls",1
"YMS PREMIER CELTIC 00 U19 Boys EDP","U19","Boys",1
