"Home","Away","Age.Group","Field","Gender"
"NVSC 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19","","Girls"
"FC Richmond 1999 U19 Female CCL","LMVSC 1999 U19 Female CCL","U19","","Girls"
"Beach FC 1999 U19 Female CCL","Fredericksburg FC 1999 U19 Female CCL","U19","","Girls"
"Loudoun 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18","","Boys"
"FC Richmond 2000 U18 Male CCL","LMVSC 2000 U18 Male CCL","U18","","Boys"
"Loudoun 2000 U18 Female CCL","Roanoke Star 2000 U18 Female CCL","U18","","Girls"
"Beach FC 2002 U16 Male CCL","Fredericksburg FC 2002 U16 Male CCL","U16","","Boys"
"Virginia Legacy 2003 U15 Male CCL","SOCA 2003 U15 Male CCL","U15","","Boys"
"Virginia Legacy 2003 U15 Female CCL","SOCA 2003 U15 Female CCL","U15","","Girls"
"Virginia Legacy 2004 U14 Male CCL","SOCA 2004 U14 Male CCL","U14","","Boys"
"Virginia Legacy 2004 U14 Female CCL","SOCA 2004 U14 Female CCL","U14","","Girls"
"Virginia Legacy 2005 U13 Male CCL","SOCA 2005 U13 Male CCL","U13","","Boys"
"Virginia Legacy 2005 U13 Female CCL","SOCA 2005 U13 Female CCL","U13","","Girls"
"Virginia Legacy 2006 U12 Male CCL","SOCA 2006 U12 Male CCL","U12","","Boys"
"Virginia Legacy 2006 U12 Female CCL","SOCA 2006 U12 Female CCL","U12","","Girls"
"Virginia Legacy 2007 U11 Male CCL","SOCA 2007 U11 Male CCL","U11","","Boys"
"Virginia Legacy 2007 U11 Female CCL","SOCA 2007 U11 Female CCL","U11","","Girls"
"SYA 1999 U19 Female CCL","Arlington 1999 U19 Female CCL","U19","","Girls"
"McLean 1999 U19 Female CCL","FC Richmond 1999 U19 Female CCL","U19","","Girls"
"McLean 2000 U18 Male CCL","FC Richmond 2000 U18 Male CCL","U18","","Boys"
"Arlington 2000 U18 Female CCL","McLean 2000 U18 Female CCL","U18","","Girls"
"LMVSC 2008 U10 Male CCL","Ellicott City 2008 U10 Male CCL","U10","","Boys"
"LMVSC 2008 U10 Male CCL","Fredericksburg FC 2008 U10 Male CCL","U10","","Boys"
"LMVSC 2008 U10 Male CCL","FCSC United 2008 U10 Male CCL","U10","","Boys"
"LMVSC 2008 U10 Female CCL","Ellicott City 2008 U10 Female CCL","U10","","Girls"
"LMVSC 2008 U10 Female CCL","Fredericksburg FC 2008 U10 Female CCL","U10","","Girls"
"LMVSC 2008 U10 Female CCL","FCSC United 2008 U10 Female CCL","U10","","Girls"
"LMVSC 2009 U09 Male CCL","Ellicott City 2009 U09 Male CCL","U09","","Boys"
"LMVSC 2009 U09 Male CCL","FCSC United 2009 U09 Male CCL","U09","","Boys"
"LMVSC 2009 U09 Female CCL","Ellicott City 2009 U09 Female CCL","U09","","Girls"
"LMVSC 2009 U09 Female CCL","FCSC United 2009 U09 Female CCL","U09","","Girls"
"McLean 2009 U09 Female CCL","SYC 2009 U09 Female CCL","U09","","Girls"
"Fredericksburg FC 1999 U19 Female CCL","Virginia Legacy 1999 U19 Female CCL","U19","","Girls"
"NVSC 1999 U19 Female CCL","Potomac 1999 U19 Female CCL","U19","","Girls"
"SOCA 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19","","Girls"
"Beach FC 1999 U19 Female CCL","Virginia Legacy 1999 U19 Female CCL","U19","","Girls"
"FC Richmond 1999 U19 Female CCL","Beach FC 1999 U19 Female CCL","U19","","Girls"
"McLean 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18","","Boys"
"FC Richmond 2000 U18 Male CCL","Beach FC 2000 U18 Male CCL","U18","","Boys"
"McLean 2000 U18 Female CCL","Roanoke Star 2000 U18 Female CCL","U18","","Girls"
"Fredericksburg FC 2002 U16 Male CCL","Virginia Legacy 2002 U16 Male CCL","U16","","Boys"
"Ellicott City 2004 U14 Female CCL","LMVSC 2004 U14 Female CCL","U14","","Girls"
"Ellicott City 2007 U11 Female CCL","LMVSC 2007 U11 Female CCL","U11","","Girls"
"FCSC United 2008 U10 Male CCL","SYC 2008 U10 Male CCL","U10","","Boys"
"FCSC United 2008 U10 Male CCL","Fredericksburg FC 2008 U10 Male CCL","U10","","Boys"
"LMVSC 2008 U10 Male CCL","NVSC 2008 U10 Male CCL","U10","","Boys"
"FCSC United 2008 U10 Female CCL","SYC 2008 U10 Female CCL","U10","","Girls"
"FCSC United 2008 U10 Female CCL","Fredericksburg FC 2008 U10 Female CCL","U10","","Girls"
"LMVSC 2008 U10 Female CCL","NVSC 2008 U10 Female CCL","U10","","Girls"
"FCSC United 2009 U09 Male CCL","SYC 2009 U09 Male CCL","U09","","Boys"
"LMVSC 2009 U09 Male CCL","NVSC 2009 U09 Male CCL","U09","","Boys"
"FCSC United 2009 U09 Female CCL","SYC 2009 U09 Female CCL","U09","","Girls"
"LMVSC 2009 U09 Female CCL","NVSC 2009 U09 Female CCL","U09","","Girls"
"SYA 1999 U19 Female CCL","Beach FC 1999 U19 Female CCL","U19","","Girls"
"SOCA 1999 U19 Female CCL","FC Richmond 1999 U19 Female CCL","U19","","Girls"
"Roanoke Star 2000 U18 Male CCL","Fredericksburg FC 2000 U18 Male CCL","U18","","Boys"
"SOCA 2000 U18 Male CCL","FC Richmond 2000 U18 Male CCL","U18","","Boys"
"Arlington 2004 U14 Female CCL","Ellicott City 2004 U14 Female CCL","U14","","Girls"
"Arlington 2007 U11 Female CCL","Ellicott City 2007 U11 Female CCL","U11","","Girls"
"FCSC United 2009 U09 Male CCL","NVSC 2009 U09 Male CCL","U09","","Boys"
"FCSC United 2009 U09 Female CCL","NVSC 2009 U09 Female CCL","U09","","Girls"
"Fredericksburg FC 1999 U19 Female CCL","McLean 1999 U19 Female CCL","U19","","Girls"
"Roanoke Star 2000 U18 Male CCL","NVSC 2000 U18 Male CCL","U18","","Boys"
"Roanoke Star 2000 U18 Female CCL","NVSC 2000 U18 Female CCL","U18","","Girls"
"Fredericksburg FC 2002 U16 Male CCL","McLean 2002 U16 Male CCL","U16","","Boys"
"Ellicott City 2004 U14 Female CCL","FC Richmond 2004 U14 Female CCL","U14","","Girls"
"Ellicott City 2007 U11 Female CCL","FC Richmond 2007 U11 Female CCL","U11","","Girls"
"Ellicott City 2009 U09 Female CCL","NVSC 2009 U09 Female CCL","U09","","Girls"
"FC Frederick 2003 U15 Female CCL","SYC 2003 U15 Female CCL","U15","","Girls"
"Fredericksburg FC 2008 U10 Male CCL","LMVSC 2008 U10 Male CCL","U10","","Boys"
"Potomac 1999 U19 Female CCL","Arlington 1999 U19 Female CCL","U19","","Girls"
"Fredericksburg FC 1999 U19 Female CCL","NVSC 1999 U19 Female CCL","U19","","Girls"
"FC Richmond 1999 U19 Female CCL","Virginia Legacy 1999 U19 Female CCL","U19","","Girls"
"SYA 1999 U19 Female CCL","Roanoke Star 1999 U19 Female CCL","U19","","Girls"
"FC Richmond 2000 U18 Male CCL","Virginia Legacy 2000 U18 Male CCL","U18","","Boys"
"SYA 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18","","Boys"
"Fredericksburg FC 2002 U16 Male CCL","NVSC 2002 U16 Male CCL","U16","","Boys"
"Beach FC 2004 U14 Female CCL","Ellicott City 2004 U14 Female CCL","U14","","Girls"
"Beach FC 2007 U11 Female CCL","Ellicott City 2007 U11 Female CCL","U11","","Girls"
"DC Stoddert 2008 U10 Female CCL","Potomac 2008 U10 Female CCL","U10","","Girls"
"SYC 2009 U09 Male CCL","McLean 2009 U09 Male CCL","U09","","Boys"
"DC Stoddert 2009 U09 Male CCL","Potomac 2009 U09 Male CCL","U09","","Boys"
"SOCA 1999 U19 Female CCL","Fredericksburg FC 1999 U19 Female CCL","U19","","Girls"
"Virginia Legacy 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19","","Girls"
"Potomac 1999 U19 Female CCL","LMVSC 1999 U19 Female CCL","U19","","Girls"
"Roanoke Star 2000 U18 Male CCL","FC Richmond 2000 U18 Male CCL","U18","","Boys"
"Roanoke Star 2000 U18 Female CCL","FC Richmond 2000 U18 Female CCL","U18","","Girls"
"SOCA 2002 U16 Male CCL","Fredericksburg FC 2002 U16 Male CCL","U16","","Boys"
"NVSC 2004 U14 Female CCL","Ellicott City 2004 U14 Female CCL","U14","","Girls"
"NVSC 2007 U11 Female CCL","Ellicott City 2007 U11 Female CCL","U11","","Girls"
"SYC 2008 U10 Male CCL","FCSC United 2008 U10 Male CCL","U10","","Boys"
"SYC 2008 U10 Female CCL","FCSC United 2008 U10 Female CCL","U10","","Girls"
"SYC 2009 U09 Male CCL","FCSC United 2009 U09 Male CCL","U09","","Boys"
"SYC 2009 U09 Female CCL","FCSC United 2009 U09 Female CCL","U09","","Girls"
"DC Stoddert 1999 U19 Female CCL","FC Richmond 1999 U19 Female CCL","U19","","Girls"
"Arlington 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18","","Boys"
"DC Stoddert 2000 U18 Male CCL","FC Richmond 2000 U18 Male CCL","U18","","Boys"
"Arlington 2000 U18 Female CCL","Roanoke Star 2000 U18 Female CCL","U18","","Girls"
"DC Stoddert 2000 U18 Female CCL","FC Richmond 2000 U18 Female CCL","U18","","Girls"
"Fredericksburg FC 2004 U14 Female CCL","Ellicott City 2004 U14 Female CCL","U14","","Girls"
"Fredericksburg FC 2007 U11 Female CCL","Ellicott City 2007 U11 Female CCL","U11","","Girls"
"Ellicott City 2008 U10 Male CCL","Fredericksburg FC 2008 U10 Male CCL","U10","","Boys"
"Ellicott City 2008 U10 Female CCL","Fredericksburg FC 2008 U10 Female CCL","U10","","Girls"
"Ellicott City 2009 U09 Female CCL","Arlington 2009 U09 Female CCL","U09","","Girls"
"SYA 2009 U09 Female CCL","DC Stoddert 2009 U09 Female CCL","U09","","Girls"
"Ellicott City 2004 U14 Female CCL","Loudoun 2004 U14 Female CCL","U14","","Girls"
"Ellicott City 2007 U11 Female CCL","Loudoun 2007 U11 Female CCL","U11","","Girls"
"FCSC United 2009 U09 Male CCL","Loudoun 2009 U09 Male CCL","U09","","Boys"
"FCSC United 2009 U09 Female CCL","Loudoun 2009 U09 Female CCL","U09","","Girls"
"LMVSC 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19","","Girls"
"FC Richmond 1999 U19 Female CCL","Fredericksburg FC 1999 U19 Female CCL","U19","","Girls"
"Roanoke Star 2000 U18 Male CCL","SOCA 2000 U18 Male CCL","U18","","Boys"
"FC Richmond 2000 U18 Male CCL","Fredericksburg FC 2000 U18 Male CCL","U18","","Boys"
"Roanoke Star 2000 U18 Female CCL","SOCA 2000 U18 Female CCL","U18","","Girls"
"FC Richmond 2000 U18 Female CCL","Fredericksburg FC 2000 U18 Female CCL","U18","","Girls"
"FC Richmond 2002 U16 Male CCL","Fredericksburg FC 2002 U16 Male CCL","U16","","Boys"
"Ellicott City 2004 U14 Female CCL","Potomac 2004 U14 Female CCL","U14","","Girls"
"Ellicott City 2007 U11 Female CCL","Potomac 2007 U11 Female CCL","U11","","Girls"
"Ellicott City 2009 U09 Female CCL","NVSC 2009 U09 Female CCL","U09","","Girls"
"Virginia Legacy 2000 U18 Female CCL","SOCA 2000 U18 Female CCL","U18","","Girls"
"Potomac 1999 U19 Female CCL","FC Richmond 1999 U19 Female CCL","U19","","Girls"
"Loudoun 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19","","Girls"
"Fredericksburg FC 1999 U19 Female CCL","Loudoun 1999 U19 Female CCL","U19","","Girls"
"NVSC 1999 U19 Female CCL","FC Richmond 1999 U19 Female CCL","U19","","Girls"
"Ellicott City 2000 U18 Female CCL","Roanoke Star 2000 U18 Female CCL","U18","","Girls"
"Potomac 1999 U19 Male CCL","SYA 1999 U19 Male CCL","U19","","Boys"
"McLean 1999 U19 Female CCL","Loudoun 1999 U19 Female CCL","U19","","Girls"
"Potomac 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19","","Girls"
"LMVSC 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18","","Boys"
"LMVSC 2000 U18 Female CCL","Roanoke Star 2000 U18 Female CCL","U18","","Girls"
"McLean 2001 U17 Female CCL","Loudoun 2001 U17 Female CCL","U17","","Girls"
"McLean 2002 U16 Male CCL","Loudoun 2002 U16 Male CCL","U16","","Boys"
"McLean 2002 U16 Female CCL","Loudoun 2002 U16 Female CCL","U16","","Girls"
"McLean 1999 U19 Female CCL","Potomac 1999 U19 Female CCL","U19","","Girls"
"LMVSC 1999 U19 Female CCL","Fredericksburg FC 1999 U19 Female CCL","U19","","Girls"
"Roanoke Star 2000 U18 Male CCL","FC Frederick 2000 U18 Male CCL","U18","","Boys"
"DC Stoddert 2000 U18 Male CCL","McLean 2000 U18 Male CCL","U18","","Boys"
"Ellicott City 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18","","Boys"
"NVSC 2000 U18 Male CCL","FC Richmond 2000 U18 Male CCL","U18","","Boys"
"Potomac 2000 U18 Female CCL","FC Richmond 2000 U18 Female CCL","U18","","Girls"
"Ellicott City 2000 U18 Female CCL","FC Richmond 2000 U18 Female CCL","U18","","Girls"
"Roanoke Star 2000 U18 Male CCL","FC Frederick 2000 U18 Male CCL","U18","","Boys"
"DC Stoddert 2001 U17 Male CCL","McLean 2001 U17 Male CCL","U17","","Boys"
"Loudoun 2002 U16 Male CCL","SYA 2002 U16 Male CCL","U16","","Boys"
"Fredericksburg FC 2002 U16 Male CCL","Loudoun 2002 U16 Male CCL","U16","","Boys"
"Loudoun 2002 U16 Male CCL","LMVSC 2002 U16 Male CCL","U16","","Boys"
"DC Stoddert 2002 U16 Male CCL","Fredericksburg FC 2002 U16 Male CCL","U16","","Boys"
"Virginia Legacy 2002 U16 Male CCL","Arlington 2002 U16 Male CCL","U16","","Boys"
"LMVSC 2002 U16 Male CCL","Fredericksburg FC 2002 U16 Male CCL","U16","","Boys"
"Fredericksburg FC 2002 U16 Male CCL","Loudoun 2002 U16 Male CCL","U16","","Boys"
"McLean 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19","","Girls"
"McLean 2000 U18 Male CCL","SYA 2000 U18 Male CCL","U18","","Boys"
"Roanoke Star 2000 U18 Female CCL","Potomac 2000 U18 Female CCL","U18","","Girls"
"Roanoke Star 2000 U18 Male CCL","Potomac 2000 U18 Male CCL","U18","","Boys"
"Virginia Legacy 2001 U17 Male CCL","Arlington 2001 U17 Male CCL","U17","","Boys"
"DC Stoddert 2002 U16 Male CCL","Fredericksburg FC 2002 U16 Male CCL","U16","","Boys"
"Fredericksburg FC 1999 U19 Female CCL","Ellicott City 1999 U19 Female CCL","U19","","Girls"
"Fredericksburg FC 2002 U16 Male CCL","Ellicott City 2002 U16 Male CCL","U16","","Boys"
"Fredericksburg FC 2003 U15 Male CCL II","LMVSC 2003 U15 Male CCL II","U15","","Boys"
"FCSC United 2005 U13 Female CCL II","SYA 2005 U13 Female CCL II","U13","","Girls"
"Fredericksburg FC 2007 U11 Male CCL II","LMVSC 2007 U11 Male CCL II","U11","","Boys"
"Fredericksburg FC 2007 U11 Female CCL II","LMVSC 2007 U11 Female CCL II","U11","","Girls"
"Potomac 2002 U16 Female CCL II","LMVSC 2002 U16 Female CCL II","U16","","Girls"
"SYC 2002 U16 Female CCL II","NVSC 2002 U16 Female CCL II","U16","","Girls"
"Fredericksburg FC 2003 U15 Male CCL II","FCSC United 2003 U15 Male CCL II","U15","","Boys"
"FC Frederick 2003 U15 Female CCL II","Ellicott City 2003 U15 Female CCL II","U15","","Girls"
"NVSC 2003 U15 Female CCL II","LMVSC 2003 U15 Female CCL II","U15","","Girls"
"SYC 2004 U14 Female CCL II","McLean 2004 U14 Female CCL II","U14","","Girls"
"Fredericksburg FC 2005 U13 Female CCL II","FCSC United 2005 U13 Female CCL II","U13","","Girls"
"Fredericksburg FC 2007 U11 Male CCL II","FCSC United 2007 U11 Male CCL II","U11","","Boys"
"Fredericksburg FC 2007 U11 Female CCL II","FCSC United 2007 U11 Female CCL II","U11","","Girls"
"Ellicott City 2002 U16 Female CCL II","Loudoun 2002 U16 Female CCL II","U16","","Girls"
"SYC 2002 U16 Female CCL II","LMVSC 2002 U16 Female CCL II","U16","","Girls"
"Ellicott City 2003 U15 Male CCL II","Fredericksburg FC 2003 U15 Male CCL II","U15","","Boys"
"Ellicott City 2003 U15 Female CCL II","Fredericksburg FC 2003 U15 Female CCL II","U15","","Girls"
"SYA 2004 U14 Female CCL II","FC Frederick 2004 U14 Female CCL II","U14","","Girls"
"McLean 2004 U14 Female CCL II","Loudoun 2004 U14 Female CCL II","U14","","Girls"
"FCSC United 2005 U13 Female CCL II","NVSC 2005 U13 Female CCL II","U13","","Girls"
"Ellicott City 2007 U11 Male CCL II","Fredericksburg FC 2007 U11 Male CCL II","U11","","Boys"
"Ellicott City 2007 U11 Female CCL II","Fredericksburg FC 2007 U11 Female CCL II","U11","","Girls"
"Potomac 2003 U15 Female CCL II","Ellicott City 2003 U15 Female CCL II","U15","","Girls"
"NVSC 2004 U14 Female CCL II","SYA 2004 U14 Female CCL II","U14","","Girls"
"LMVSC 2005 U13 Female CCL II","FCSC United 2005 U13 Female CCL II","U13","","Girls"
"FCSC United 2002 U16 Male CCL II","LMVSC 2002 U16 Male CCL II","U16","","Boys"
"FCSC United 2002 U16 Female CCL II","LMVSC 2002 U16 Female CCL II","U16","","Girls"
"SYA 2003 U15 Male CCL II","Fredericksburg FC 2003 U15 Male CCL II","U15","","Boys"
"Ellicott City 2003 U15 Female CCL II","LMVSC 2003 U15 Female CCL II","U15","","Girls"
"DC Stoddert 2004 U14 Female CCL II","McLean 2004 U14 Female CCL II","U14","","Girls"
"SYA 2004 U14 Female CCL II","Fredericksburg FC 2004 U14 Female CCL II","U14","","Girls"
"Ellicott City 2005 U13 Female CCL II","LMVSC 2005 U13 Female CCL II","U13","","Girls"
"FC Frederick 2005 U13 Female CCL II","FCSC United 2005 U13 Female CCL II","U13","","Girls"
"SYA 2007 U11 Male CCL II","Fredericksburg FC 2007 U11 Male CCL II","U11","","Boys"
"SYA 2007 U11 Female CCL II","Fredericksburg FC 2007 U11 Female CCL II","U11","","Girls"
"McLean 2002 U16 Female CCL II","Fredericksburg FC 2002 U16 Female CCL II","U16","","Girls"
"Fredericksburg FC 2003 U15 Male CCL II","FC Frederick 2003 U15 Male CCL II","U15","","Boys"
"NVSC 2003 U15 Female CCL II","Ellicott City 2003 U15 Female CCL II","U15","","Girls"
"McLean 2004 U14 Female CCL II","Potomac 2004 U14 Female CCL II","U14","","Girls"
"SYA 2004 U14 Female CCL II","SYC 2004 U14 Female CCL II","U14","","Girls"
"Fredericksburg FC 2007 U11 Male CCL II","FC Frederick 2007 U11 Male CCL II","U11","","Boys"
"Fredericksburg FC 2007 U11 Female CCL II","FC Frederick 2007 U11 Female CCL II","U11","","Girls"
"FCSC United 2002 U16 Male CCL II","McLean 2002 U16 Male CCL II","U16","","Boys"
"NVSC 2002 U16 Female CCL II","SYA 2002 U16 Female CCL II","U16","","Girls"
"DC Stoddert 2003 U15 Male CCL II","Fredericksburg FC 2003 U15 Male CCL II","U15","","Boys"
"Ellicott City 2003 U15 Female CCL II","SYA 2003 U15 Female CCL II","U15","","Girls"
"FC Frederick 2003 U15 Female CCL II","NVSC 2003 U15 Female CCL II","U15","","Girls"
"Ellicott City 2004 U14 Female CCL II","SYA 2004 U14 Female CCL II","U14","","Girls"
"FCSC United 2004 U14 Female CCL II","McLean 2004 U14 Female CCL II","U14","","Girls"
"FCSC United 2005 U13 Female CCL II","McLean 2005 U13 Female CCL II","U13","","Girls"
"DC Stoddert 2007 U11 Male CCL II","Fredericksburg FC 2007 U11 Male CCL II","U11","","Boys"
"DC Stoddert 2007 U11 Female CCL II","Fredericksburg FC 2007 U11 Female CCL II","U11","","Girls"
"Fredericksburg FC 2003 U15 Male CCL II","SYC 2003 U15 Male CCL II","U15","","Boys"
"Ellicott City 2003 U15 Female CCL II","FCSC United 2003 U15 Female CCL II","U15","","Girls"
"McLean 2004 U14 Female CCL II","SYA 2004 U14 Female CCL II","U14","","Girls"
"Fredericksburg FC 2007 U11 Male CCL II","SYC 2007 U11 Male CCL II","U11","","Boys"
"Fredericksburg FC 2007 U11 Female CCL II","SYC 2007 U11 Female CCL II","U11","","Girls"
"NVSC 2003 U15 Male CCL II","Fredericksburg FC 2003 U15 Male CCL II","U15","","Boys"
"McLean 2004 U14 Female CCL II","SYC 2004 U14 Female CCL II","U14","","Girls"
"SYA 2004 U14 Female CCL II","LMVSC 2004 U14 Female CCL II","U14","","Girls"
"NVSC 2007 U11 Male CCL II","Fredericksburg FC 2007 U11 Male CCL II","U11","","Boys"
"NVSC 2007 U11 Female CCL II","Fredericksburg FC 2007 U11 Female CCL II","U11","","Girls"
"Ellicott City 2003 U15 Male CCL II","FCSC United 2003 U15 Male CCL II","U15","","Boys"
"FCSC United 2005 U13 Female CCL II","Ellicott City 2005 U13 Female CCL II","U13","","Girls"
"Ellicott City 2002 U16 Female CCL II","FC Frederick 2002 U16 Female CCL II","U16","","Girls"
