Field,Team1,Team2,Age.Group,Gender
z - Shenandoah Valley United,CVU U15 Girls U15 Girls SCSL,SVU U15 Girls U15 Girls SCSL,U15,Girls
z - New River United,NRU U15 Girls U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL,U15,Girls
z - New River United,SOCA Cville U15 Girls Premier U15 Girls SCSL,NRU U15 Girls U15 Girls SCSL,U15,Girls
z - Augusta,SOCA Augusta U15 Girls Premier U15 Girls SCSL,CVU U15 Girls U15 Girls SCSL,U15,Girls
z - Valley AFC,SVU U15 Girls U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL,U15,Girls
z - New River United,SVU U15 Girls U15 Girls SCSL,NRU U15 Girls U15 Girls SCSL,U15,Girls
z - Valley AFC,SOCA Cville U15 Girls Premier U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL,U15,Girls
z - Shenandoah Valley United,SOCA Augusta U15 Girls Premier U15 Girls SCSL,SVU U15 Girls U15 Girls SCSL,U15,Girls
z - Charlottesville,SOCA Cville U15 Girls Premier U15 Girls SCSL,NRU U15 Girls U15 Girls SCSL,U15,Girls
z - Central Virginia United,SOCA Augusta U15 Girls Premier U15 Girls SCSL,CVU U15 Girls U15 Girls SCSL,U15,Girls
z - Shenandoah Valley United,SVU U15 Girls U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL,U15,Girls
z - New River United,SOCA Augusta U15 Girls Premier U15 Girls SCSL,NRU U15 Girls U15 Girls SCSL,U15,Girls
z - Charlottesville,SOCA Cville U15 Girls Premier U15 Girls SCSL,SOCA Augusta U15 Girls Premier U15 Girls SCSL,U15,Girls
z - Shenandoah Valley United,SOCA Cville U15 Girls Premier U15 Girls SCSL,SVU U15 Girls U15 Girls SCSL,U15,Girls
z - Valley AFC,CVU U15 Girls U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL,U15,Girls
z - Valley AFC,SOCA Augusta U15 Girls Premier U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL,U15,Girls
z - Shenandoah Valley United,SVU U15 Girls U15 Girls SCSL,NRU U15 Girls U15 Girls SCSL,U15,Girls
z - Central Virginia United,CVU U15 Girls U15 Girls SCSL,SVU U15 Girls U15 Girls SCSL,U15,Girls
z - Valley AFC,NRU U15 Girls U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL,U15,Girls
z - Central Virginia United,SOCA Cville U15 Girls Premier U15 Girls SCSL,CVU U15 Girls U15 Girls SCSL,U15,Girls
z - Charlottesville,SOCA Cville U15 Girls Premier U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL,U15,Girls
z - Augusta,SOCA Augusta U15 Girls Premier U15 Girls SCSL,SVU U15 Girls U15 Girls SCSL,U15,Girls
z - Central Virginia United,CVU U15 Girls U15 Girls SCSL,NRU U15 Girls U15 Girls SCSL,U15,Girls
z - New River United,SOCA Augusta U15 Girls Premier U15 Girls SCSL,NRU U15 Girls U15 Girls SCSL,U15,Girls
z - Charlottesville,SOCA Cville U15 Girls Premier U15 Girls SCSL,CVU U15 Girls U15 Girls SCSL,U15,Girls
z - Augusta,SOCA Augusta U15 Girls Premier U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL,U15,Girls
Booster Park #1,SOCA Cville 04 Girls White U15 Girls SCSL,Orange Fire 05/04 Girls U15 Girls SCSL,U15,Girls
Hoover Ridge Red Barn,Madison U13/15 Girls U15 Girls SCSL,FYSA U14 Girls U15 Girls SCSL,U15,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 04 Girls White U15 Girls SCSL,Madison U13/15 Girls U15 Girls SCSL,U15,Girls
Booster Park #1,SOCA Cville 05 Girls Classic U15 Girls SCSL,Orange Fire 05/04 Girls U15 Girls SCSL,U15,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 05 Girls Classic U15 Girls SCSL,Madison U13/15 Girls U15 Girls SCSL,U15,Girls
Zions Crossroads #1,SOCA Cville 04 Girls White U15 Girls SCSL,FYSA U14 Girls U15 Girls SCSL,U15,Girls
Zions Crossroads #2,SOCA Cville 05 Girls Classic U15 Girls SCSL,FYSA U14 Girls U15 Girls SCSL,U15,Girls
Hoover Ridge Red Barn,Orange Fire 05/04 Girls U15 Girls SCSL,Madison U13/15 Girls U15 Girls SCSL,U15,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 05 Girls Classic U15 Girls SCSL,SOCA Cville 04 Girls White U15 Girls SCSL,U15,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 04 Girls White U15 Girls SCSL,FYSA U14 Girls U15 Girls SCSL,U15,Girls
Hoover Ridge Large,SOCA Cville 05 Girls Classic U15 Girls SCSL,Madison U13/15 Girls U15 Girls SCSL,U15,Girls
Booster Park #1,Orange Fire 05/04 Girls U15 Girls SCSL,FYSA U14 Girls U15 Girls SCSL,U15,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 05 Girls Classic U15 Girls SCSL,Orange Fire 05/04 Girls U15 Girls SCSL,U15,Girls
Hoover Ridge Red Barn,SOCA Cville 04 Girls White U15 Girls SCSL,Madison U13/15 Girls U15 Girls SCSL,U15,Girls
Zions Crossroads #1,Madison U13/15 Girls U15 Girls SCSL,FYSA U14 Girls U15 Girls SCSL,U15,Girls
Zions Crossroads #1,Orange Fire 05/04 Girls U15 Girls SCSL,FYSA U14 Girls U15 Girls SCSL,U15,Girls
Booster Park #1,Orange Fire 05/04 Girls U15 Girls SCSL,Madison U13/15 Girls U15 Girls SCSL,U15,Girls
Booster Park #1,SOCA Cville 04 Girls White U15 Girls SCSL,Orange Fire 05/04 Girls U15 Girls SCSL,U15,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 05 Girls Classic U15 Girls SCSL,FYSA U14 Girls U15 Girls SCSL,U15,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 4),SOCA Cville 05 Girls Classic U15 Girls SCSL,SOCA Cville 04 Girls White U15 Girls SCSL,U15,Girls
z - New River United,NRU U16 Girls U16 Girls SCSL,CVU U16 Girls U16 Girls SCSL,U16,Girls
z - Charlottesville,SOCA Cville U16 Girls Premier U16 Girls SCSL,Salem Sabres U16 Girls U16 Girls SCSL,U16,Girls
z - Central Virginia United,CVU U16 Girls U16 Girls SCSL,Valley FC U16 Girls U16 Girls SCSL,U16,Girls
z - New River United,NRU U16 Girls U16 Girls SCSL,Valley FC U16 Girls U16 Girls SCSL,U16,Girls
z - New River United,SOCA Cville U16 Girls Premier U16 Girls SCSL,NRU U16 Girls U16 Girls SCSL,U16,Girls
z - New River United,NRU U16 Girls U16 Girls SCSL,Salem Sabres U16 Girls U16 Girls SCSL,U16,Girls
z - Valley AFC,SOCA Cville U16 Girls Premier U16 Girls SCSL,Valley FC U16 Girls U16 Girls SCSL,U16,Girls
z - Salem Sabres,CVU U16 Girls U16 Girls SCSL,Salem Sabres U16 Girls U16 Girls SCSL,U16,Girls
z - Charlottesville,SOCA Cville U16 Girls Premier U16 Girls SCSL,NRU U16 Girls U16 Girls SCSL,U16,Girls
z - Salem Sabres,Salem Sabres U16 Girls U16 Girls SCSL,Valley FC U16 Girls U16 Girls SCSL,U16,Girls
z - Valley AFC,CVU U16 Girls U16 Girls SCSL,Valley FC U16 Girls U16 Girls SCSL,U16,Girls
z - Valley AFC,NRU U16 Girls U16 Girls SCSL,Valley FC U16 Girls U16 Girls SCSL,U16,Girls
z - Central Virginia United,CVU U16 Girls U16 Girls SCSL,Salem Sabres U16 Girls U16 Girls SCSL,U16,Girls
z - Central Virginia United,SOCA Cville U16 Girls Premier U16 Girls SCSL,CVU U16 Girls U16 Girls SCSL,U16,Girls
z - Valley AFC,Salem Sabres U16 Girls U16 Girls SCSL,Valley FC U16 Girls U16 Girls SCSL,U16,Girls
z - Charlottesville,SOCA Cville U16 Girls Premier U16 Girls SCSL,Valley FC U16 Girls U16 Girls SCSL,U16,Girls
z - Central Virginia United,NRU U16 Girls U16 Girls SCSL,CVU U16 Girls U16 Girls SCSL,U16,Girls
z - Salem Sabres,SOCA Cville U16 Girls Premier U16 Girls SCSL,Salem Sabres U16 Girls U16 Girls SCSL,U16,Girls
z - Charlottesville,SOCA Cville U16 Girls Premier U16 Girls SCSL,CVU U16 Girls U16 Girls SCSL,U16,Girls
z - Salem Sabres,NRU U16 Girls U16 Girls SCSL,Salem Sabres U16 Girls U16 Girls SCSL,U16,Girls
Luray High School #1,FYSA U15/16 Girls U17 Girls SCSL,Luray Valley U13/17 Girls U17 Girls SCSL,U17,Girls
Greene County Community Park (GCCP) Rear,SOCA Cville 03 Girls Classic U17 Girls SCSL,GFC Fusion U15 Girls U17 Girls SCSL,U17,Girls
Luray High School #1,GFC Fusion U15 Girls U17 Girls SCSL,Luray Valley U13/17 Girls U17 Girls SCSL,U17,Girls
Zions Crossroads #1,FYSA U15/16 Girls U17 Girls SCSL,Orange Fire 03/02 Girls U17 Girls SCSL,U17,Girls
Booster Park #1,GFC Fusion U15 Girls U17 Girls SCSL,Orange Fire 03/02 Girls U17 Girls SCSL,U17,Girls
Booster Park #1,SOCA Cville 03 Girls Classic U17 Girls SCSL,Orange Fire 03/02 Girls U17 Girls SCSL,U17,Girls
Greene County Community Park (GCCP) Rear,GFC Fusion U15 Girls U17 Girls SCSL,FYSA U15/16 Girls U17 Girls SCSL,U17,Girls
Zions Crossroads #1,SOCA Cville 03 Girls Classic U17 Girls SCSL,FYSA U15/16 Girls U17 Girls SCSL,U17,Girls
Luray High School #1,Orange Fire 03/02 Girls U17 Girls SCSL,Luray Valley U13/17 Girls U17 Girls SCSL,U17,Girls
Zions Crossroads #1,GFC Fusion U15 Girls U17 Girls SCSL,FYSA U15/16 Girls U17 Girls SCSL,U17,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 03 Girls Classic U17 Girls SCSL,Orange Fire 03/02 Girls U17 Girls SCSL,U17,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 03 Girls Classic U17 Girls SCSL,FYSA U15/16 Girls U17 Girls SCSL,U17,Girls
Booster Park #1,Orange Fire 03/02 Girls U17 Girls SCSL,Luray Valley U13/17 Girls U17 Girls SCSL,U17,Girls
Luray High School #1,SOCA Cville 03 Girls Classic U17 Girls SCSL,Luray Valley U13/17 Girls U17 Girls SCSL,U17,Girls
Greene County Community Park (GCCP) Rear,GFC Fusion U15 Girls U17 Girls SCSL,Orange Fire 03/02 Girls U17 Girls SCSL,U17,Girls
Booster Park #1,FYSA U15/16 Girls U17 Girls SCSL,Orange Fire 03/02 Girls U17 Girls SCSL,U17,Girls
Zions Crossroads #1,FYSA U15/16 Girls U17 Girls SCSL,Luray Valley U13/17 Girls U17 Girls SCSL,U17,Girls
Greene County Community Park (GCCP) Rear,GFC Fusion U15 Girls U17 Girls SCSL,Luray Valley U13/17 Girls U17 Girls SCSL,U17,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Girls Classic U17 Girls SCSL,GFC Fusion U15 Girls U17 Girls SCSL,U17,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 03 Girls Classic U17 Girls SCSL,Luray Valley U13/17 Girls U17 Girls SCSL,U17,Girls
Vinyard East #4,Valley FC U18G Green U18 Girls SCSL,GFC Fusion U18 Girls U18 Girls SCSL,U18,Girls
Greene County Community Park (GCCP) Rear,Louisa FC U18 Girls U18 Girls SCSL,GFC Fusion U18 Girls U18 Girls SCSL,U18,Girls
Rockfish River ES,SOCA Cville 02 Girls Classic U18 Girls SCSL,Nelson U18 Girls U18 Girls SCSL,U18,Girls
Rockfish River ES,Valley FC U18G Green U18 Girls SCSL,Nelson U18 Girls U18 Girls SCSL,U18,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 02 Girls Classic U18 Girls SCSL,GFC Fusion U18 Girls U18 Girls SCSL,U18,Girls
Vinyard East #4,Louisa FC U18 Girls U18 Girls SCSL,Valley FC U18G Green U18 Girls SCSL,U18,Girls
Rockfish River ES,GFC Fusion U18 Girls U18 Girls SCSL,Nelson U18 Girls U18 Girls SCSL,U18,Girls
Trevilians Elementary #1,SOCA Cville 02 Girls Classic U18 Girls SCSL,Louisa FC U18 Girls U18 Girls SCSL,U18,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 02 Girls Classic U18 Girls SCSL,Valley FC U18G Green U18 Girls SCSL,U18,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 02 Girls Classic U18 Girls SCSL,Nelson U18 Girls U18 Girls SCSL,U18,Girls
Greene County Community Park (GCCP) Rear,Valley FC U18G Green U18 Girls SCSL,GFC Fusion U18 Girls U18 Girls SCSL,U18,Girls
Greene County Community Park (GCCP) Rear,SOCA Cville 02 Girls Classic U18 Girls SCSL,GFC Fusion U18 Girls U18 Girls SCSL,U18,Girls
Trevilians Elementary #1,Louisa FC U18 Girls U18 Girls SCSL,Valley FC U18G Green U18 Girls SCSL,U18,Girls
Trevilians Elementary #1,Louisa FC U18 Girls U18 Girls SCSL,Nelson U18 Girls U18 Girls SCSL,U18,Girls
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 02 Girls Classic U18 Girls SCSL,Louisa FC U18 Girls U18 Girls SCSL,U18,Girls
Vinyard East #4,SOCA Cville 02 Girls Classic U18 Girls SCSL,Valley FC U18G Green U18 Girls SCSL,U18,Girls
Greene County Community Park (GCCP) Rear,GFC Fusion U18 Girls U18 Girls SCSL,Nelson U18 Girls U18 Girls SCSL,U18,Girls
Trevilians Elementary #1,Louisa FC U18 Girls U18 Girls SCSL,GFC Fusion U18 Girls U18 Girls SCSL,U18,Girls
Rockfish River ES,Louisa FC U18 Girls U18 Girls SCSL,Nelson U18 Girls U18 Girls SCSL,U18,Girls
Vinyard East #4,Valley FC U18G Green U18 Girls SCSL,Nelson U18 Girls U18 Girls SCSL,U18,Girls
Hoover Ridge,SOCA CVille U19 Girls Premier U19 Girls SCSL,Madison U19 Girls U19 Girls SCSL,U19,Girls
z - Charlottesville,SOCA CVille U19 Girls Premier U19 Girls SCSL,SVU U19 Girls U19 Girls SCSL,U19,Girls
Hoover Ridge,Madison U19 Girls U19 Girls SCSL,NRU U17 Girls U19 Girls SCSL,U19,Girls
z - Central Virginia United,CVU U17 Girls U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
z - New River United,NRU U17 Girls U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
z - Shenandoah Valley United,CVU U17 Girls U19 Girls SCSL,SVU U19 Girls U19 Girls SCSL,U19,Girls
z - New River United,SOCA CVille U19 Girls Premier U19 Girls SCSL,NRU U17 Girls U19 Girls SCSL,U19,Girls
Hoover Ridge,Madison U19 Girls U19 Girls SCSL,CVU U17 Girls U19 Girls SCSL,U19,Girls
z - Valley AFC,SVU U19 Girls U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
z - New River United,NRU U17 Girls U19 Girls SCSL,SVU U19 Girls U19 Girls SCSL,U19,Girls
z - Valley AFC,SOCA CVille U19 Girls Premier U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
z - Shenandoah Valley United,Madison U19 Girls U19 Girls SCSL,SVU U19 Girls U19 Girls SCSL,U19,Girls
z - New River United,NRU U17 Girls U19 Girls SCSL,CVU U17 Girls U19 Girls SCSL,U19,Girls
z - Charlottesville,SOCA CVille U19 Girls Premier U19 Girls SCSL,NRU U17 Girls U19 Girls SCSL,U19,Girls
z - Central Virginia United,Madison U19 Girls U19 Girls SCSL,CVU U17 Girls U19 Girls SCSL,U19,Girls
z - Shenandoah Valley United,SVU U19 Girls U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
z - Charlottesville,SOCA CVille U19 Girls Premier U19 Girls SCSL,Madison U19 Girls U19 Girls SCSL,U19,Girls
z - Valley AFC,CVU U17 Girls U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
z - Shenandoah Valley United,NRU U17 Girls U19 Girls SCSL,SVU U19 Girls U19 Girls SCSL,U19,Girls
z - Valley AFC,NRU U17 Girls U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
z - Central Virginia United,CVU U17 Girls U19 Girls SCSL,SVU U19 Girls U19 Girls SCSL,U19,Girls
z - Central Virginia United,SOCA CVille U19 Girls Premier U19 Girls SCSL,CVU U17 Girls U19 Girls SCSL,U19,Girls
z - Valley AFC,Madison U19 Girls U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
z - Charlottesville,SOCA CVille U19 Girls Premier U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
Hoover Ridge,Madison U19 Girls U19 Girls SCSL,SVU U19 Girls U19 Girls SCSL,U19,Girls
z - Central Virginia United,NRU U17 Girls U19 Girls SCSL,CVU U17 Girls U19 Girls SCSL,U19,Girls
z - Charlottesville,SOCA CVille U19 Girls Premier U19 Girls SCSL,CVU U17 Girls U19 Girls SCSL,U19,Girls
Hoover Ridge,Madison U19 Girls U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL,U19,Girls
z - Shenandoah Valley United,SOCA CVille U19 Girls Premier U19 Girls SCSL,SVU U19 Girls U19 Girls SCSL,U19,Girls
z - New River United,Madison U19 Girls U19 Girls SCSL,NRU U17 Girls U19 Girls SCSL,U19,Girls
z - New River United,CVU U19 Girls U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL,U19,Girls
z - Augusta,SOCA Augusta U19 Girls Premier U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL,U19,Girls
z - Central Virginia United,Valley FC U18 Girls U19 Girls SCSL,CVU U19 Girls U19 Girls SCSL,U19,Girls
z - New River United,Valley FC U18 Girls U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL,U19,Girls
z - Salem Sabres,Salem Sabres U18 Girls U19 Girls SCSL,CVU U19 Girls U19 Girls SCSL,U19,Girls
z - Valley AFC,Valley FC U18 Girls U19 Girls SCSL,Salem Sabres U18 Girls U19 Girls SCSL,U19,Girls
z - New River United,Salem Sabres U18 Girls U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL,U19,Girls
z - Salem Sabres,SOCA Augusta U19 Girls Premier U19 Girls SCSL,Salem Sabres U18 Girls U19 Girls SCSL,U19,Girls
z - Central Virginia United,SOCA Augusta U19 Girls Premier U19 Girls SCSL,CVU U19 Girls U19 Girls SCSL,U19,Girls
z - Salem Sabres,Valley FC U18 Girls U19 Girls SCSL,Salem Sabres U18 Girls U19 Girls SCSL,U19,Girls
z - Augusta,SOCA Augusta U19 Girls Premier U19 Girls SCSL,CVU U19 Girls U19 Girls SCSL,U19,Girls
z - Valley AFC,Valley FC U18 Girls U19 Girls SCSL,CVU U19 Girls U19 Girls SCSL,U19,Girls
z - Valley AFC,SOCA Augusta U19 Girls Premier U19 Girls SCSL,Valley FC U18 Girls U19 Girls SCSL,U19,Girls
z - Valley AFC,Valley FC U18 Girls U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL,U19,Girls
z - Augusta,SOCA Augusta U19 Girls Premier U19 Girls SCSL,Salem Sabres U18 Girls U19 Girls SCSL,U19,Girls
z - Central Virginia United,CVU U19 Girls U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL,U19,Girls
z - New River United,SOCA Augusta U19 Girls Premier U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL,U19,Girls
z - Central Virginia United,Salem Sabres U18 Girls U19 Girls SCSL,CVU U19 Girls U19 Girls SCSL,U19,Girls
z - Augusta,SOCA Augusta U19 Girls Premier U19 Girls SCSL,Valley FC U18 Girls U19 Girls SCSL,U19,Girls
z - Salem Sabres,Salem Sabres U18 Girls U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL,U19,Girls