"Team","Age Group","Gender"
"Loudoun Soccer U-12 Boys","U12","Boys"
"Loudoun Soccer U-13 Boys","U13","Boys"
"Loudoun Soccer U-14 Boys","U14","Boys"
"Marin FC Alliance U-12 Boys","U12","Boys"
"Marin FC Alliance U-13 Boys","U13","Boys"
"Marin FC Alliance U-14 Boys","U14","Boys"
"McLean Youth Soccer U-12 Boys","U12","Boys"
"Met Oval U-12 Boys","U12","Boys"
"Met Oval U-13 Boys","U13","Boys"
"Met Oval U-14 Boys","U14","Boys"
"Minnesota Thunder Academy U-13 Boys","U13","Boys"
"Minnesota Thunder Academy U-14 Boys","U14","Boys"
"Minnesota Thunder Academy U-15 Boys","U15","Boys"
"Minnesota Thunder Academy U-16/17 Boys","U17","Boys"
"Minnesota Thunder Academy U-18/19 Boys","U19","Boys"
"Minnesota United FC U-13 Boys","U13","Boys"
"Minnesota United FC U-14 Boys","U14","Boys"
"Montreal Impact FC U-15 Boys","U15","Boys"
"Montreal Impact FC U-16/17 Boys","U17","Boys"
"Montreal Impact FC U-18/19 Boys","U19","Boys"
"Murrieta Surf Soccer Club U-12 Boys","U12","Boys"
"Mustang Soccer Club U-12 Boys","U12","Boys"
"NEFC U-12 Boys","U12","Boys"
"NEFC U-13 Boys","U13","Boys"
"NEFC U-14 Boys","U14","Boys"
"New England Revolution U-13 Boys","U13","Boys"
"New England Revolution U-14 Boys","U14","Boys"
"New England Revolution U-15 Boys","U15","Boys"
"New England Revolution U-16/17 Boys","U17","Boys"
"New England Revolution U-18/19 Boys","U19","Boys"
"New York City FC U-12 Boys","U12","Boys"
"New York City FC U-13 Boys","U13","Boys"
"New York City FC U-14 Boys","U14","Boys"
"New York City FC U-15 Boys","U15","Boys"
"New York City FC U-16/17 Boys","U17","Boys"
"New York City FC U-18/19 Boys","U19","Boys"
"New York Cosmos U-12 Boys","U12","Boys"
"New York Cosmos U-13 Boys","U13","Boys"
"New York Cosmos U-14 Boys","U14","Boys"
"New York Red Bulls U-12 Boys","U12","Boys"
"New York Red Bulls U-13 Boys","U13","Boys"
"New York Red Bulls U-14 Boys","U14","Boys"
"New York Red Bulls U-15 Boys","U15","Boys"
"New York Red Bulls U-16/17 Boys","U17","Boys"
"New York Red Bulls U-18/19 Boys","U19","Boys"
"New York Soccer Club U-12 Boys","U12","Boys"
"New York Soccer Club U-13 Boys","U13","Boys"
"New York Soccer Club U-14 Boys","U14","Boys"
"New York Soccer Club U-15 Boys","U15","Boys"
"Nomads SC U-12 Boys","U12","Boys"
"Nomads SC U-13 Boys","U13","Boys"
"Nomads SC U-14 Boys","U14","Boys"
"Nomads SC U-15 Boys","U15","Boys"
"Nomads SC U-16/17 Boys","U17","Boys"
"Nomads SC U-18/19 Boys","U19","Boys"
"North Atlanta Soccer Association U-12 Boys","U12","Boys"
"North Atlanta Soccer Association U-13 Boys","U13","Boys"
"North Atlanta Soccer Association U-14 Boys","U14","Boys"
"North Carolina FC Youth Del Sol U-12 Boys","U12","Boys"
"North Carolina FC Youth North U-12 Boys","U12","Boys"
"North Carolina FC Youth North U-13 Boys","U13","Boys"
"North Carolina FC Youth North U-14 Boys","U14","Boys"
"North Carolina FC Youth South U-12 Boys","U12","Boys"
"North Carolina FC Youth South U-13 Boys","U13","Boys"
"North Carolina FC Youth South U-14 Boys","U14","Boys"
"North Carolina FC Youth U-15 Boys","U15","Boys"
"North Carolina FC Youth U-16/17 Boys","U17","Boys"
"North Carolina FC Youth U-18/19 Boys","U19","Boys"
"North Carolina Fusion U-12 Boys","U12","Boys"
"North Carolina Fusion U-13 Boys","U13","Boys"
"North Carolina Fusion U-14 Boys","U14","Boys"
"North Carolina Fusion U-15 Boys","U15","Boys"
"North Carolina Fusion U-16/17 Boys","U17","Boys"
"North Carolina Fusion U-18/19 Boys","U19","Boys"
"Oakwood Soccer Club U-12 Boys","U12","Boys"
"Oakwood Soccer Club U-13 Boys","U13","Boys"
"Oakwood Soccer Club U-14 Boys","U14","Boys"
"Oakwood Soccer Club U-15 Boys","U15","Boys"
"Oakwood Soccer Club U-16/17 Boys","U17","Boys"
"Oakwood Soccer Club U-18/19 Boys","U19","Boys"
"Orlando City SC U-12 Boys","U12","Boys"
"Orlando City SC U-13 Boys","U13","Boys"
"Orlando City SC U-14 Boys","U14","Boys"
"Orlando City SC U-15 Boys","U15","Boys"
"Orlando City SC U-16/17 Boys","U17","Boys"
"Orlando City SC U-18/19 Boys","U19","Boys"
"PA Classics U-12 Boys","U12","Boys"
"PA Classics U-13 Boys","U13","Boys"
"PA Classics U-14 Boys","U14","Boys"
"PA Classics U-15 Boys","U15","Boys"
"PA Classics U-16/17 Boys","U17","Boys"
"PA Classics U-18/19 Boys","U19","Boys"
"Pacific Northwest Soccer Club U-12 Boys","U12","Boys"
"Pacific Northwest Soccer Club U-13 Boys","U13","Boys"
"Pacific Northwest Soccer Club U-14 Boys","U14","Boys"
"Palm Beach Predators U-12 Boys","U12","Boys"
"Palm Beach United U-13 Boys","U13","Boys"
"Palm Beach United U-14 Boys","U14","Boys"
"Pateadores U-12 Boys","U12","Boys"
"Pateadores U-13 Boys","U13","Boys"
"Pateadores U-14 Boys","U14","Boys"
"Pateadores U-15 Boys","U15","Boys"
"Pateadores U-16/17 Boys","U17","Boys"
"Pateadores U-18/19 Boys","U19","Boys"
"Philadelphia Ukrainian Nationals U-12 Boys","U12","Boys"
"Philadelphia Union U-12 Boys","U12","Boys"
"Philadelphia Union U-13 Boys","U13","Boys"
"Philadelphia Union U-14 Boys","U14","Boys"
"Philadelphia Union U-15 Boys","U15","Boys"
"Philadelphia Union U-16/17 Boys","U17","Boys"
"Philadelphia Union U-18/19 Boys","U19","Boys"
"Placer United SC U-12 Boys","U12","Boys"
"Placer United SC U-13 Boys","U13","Boys"
"Placer United SC U-14 Boys","U14","Boys"
"Plantation FC U-12 Boys","U12","Boys"
"Players Club of Tampa Bay U-12 Boys","U12","Boys"
"Players Development Academy U-12 Boys","U12","Boys"
"Players Development Academy U-13 Boys","U13","Boys"
"Players Development Academy U-14 Boys","U14","Boys"
"Players Development Academy U-15 Boys","U15","Boys"
"Players Development Academy U-16/17 Boys","U17","Boys"
"Players Development Academy U-18/19 Boys","U19","Boys"
"Portland Timbers U-13 Boys","U13","Boys"
"Portland Timbers U-14 Boys","U14","Boys"
"Portland Timbers U-15 Boys","U15","Boys"
"Portland Timbers U-16/17 Boys","U17","Boys"
"Portland Timbers U-18/19 Boys","U19","Boys"
"Pride Switchbacks DA U-12 Boys","U12","Boys"
"Pride Switchbacks DA U-13 Boys","U13","Boys"
"Pride Switchbacks DA U-14 Boys","U14","Boys"
"Real Colorado U-12 Boys","U12","Boys"
"Real Colorado U-13 Boys","U13","Boys"
"Real Colorado U-14 Boys","U14","Boys"
"Real Colorado U-15 Boys","U15","Boys"
"Real Colorado U-16/17 Boys","U17","Boys"
"Real Colorado U-18/19 Boys","U19","Boys"
"Real Salt Lake U-16/17 Boys","U17","Boys"
"Real Salt Lake U-18/19 Boys","U19","Boys"
"Real So Cal U-12 Boys","U12","Boys"
"Real So Cal U-13 Boys","U13","Boys"
"Real So Cal U-14 Boys","U14","Boys"
"Real So Cal U-15 Boys","U15","Boys"
"Real So Cal U-16/17 Boys","U17","Boys"
"Real So Cal U-18/19 Boys","U19","Boys"
"Rebels Soccer Club U-12 Boys","U12","Boys"
"Richmond United U-12 Boys","U12","Boys"
"Richmond United U-13 Boys","U13","Boys"
"Richmond United U-14 Boys","U14","Boys"
"Richmond United U-15 Boys","U15","Boys"
"Richmond United U-16/17 Boys","U17","Boys"
"Richmond United U-18/19 Boys","U19","Boys"
"Rise Soccer Club U-12 Boys","U12","Boys"
"Rise Soccer Club U-13 Boys","U13","Boys"
"Rise Soccer Club U-14 Boys","U14","Boys"
"Sacramento Republic FC U-12 Boys","U12","Boys"
"Sacramento Republic FC U-13 Boys","U13","Boys"
"Sacramento Republic FC U-14 Boys","U14","Boys"
"Sacramento Republic FC U-15 Boys","U15","Boys"
"Sacramento Republic FC U-16/17 Boys","U17","Boys"
"Sacramento Republic FC U-18/19 Boys","U19","Boys"
"Saint Louis FC Academy U-15 Boys","U15","Boys"
"Saint Louis FC Academy U-16/17 Boys","U17","Boys"
"Saint Louis FC Academy U-18/19 Boys","U19","Boys"
"San Antonio FC U-12 Boys","U12","Boys"
"San Antonio FC U-13 Boys","U13","Boys"
"San Antonio FC U-14 Boys","U14","Boys"
"San Diego Soccer Club U-12 Boys","U12","Boys"
"San Diego Surf U-12 Boys","U12","Boys"
"San Diego Surf U-13 Boys","U13","Boys"
"San Diego Surf U-14 Boys","U14","Boys"
"San Diego Surf U-15 Boys","U15","Boys"
"San Diego Surf U-16/17 Boys","U17","Boys"
"San Diego Surf U-18/19 Boys","U19","Boys"
"San Francisco Elite Academy U-12 Boys","U12","Boys"
"San Francisco Glens Evolution U-12 Boys","U12","Boys"
"San Joaquin Valley Soccer Association U-12 Boys","U12","Boys"
"San Joaquin Valley Soccer Association U-13 Boys","U13","Boys"
"San Joaquin Valley Soccer Association U-14 Boys","U14","Boys"
"San Jose Earthquakes U-12 Boys","U12","Boys"
"San Jose Earthquakes U-13 Boys","U13","Boys"
"San Jose Earthquakes U-14 Boys","U14","Boys"
"San Jose Earthquakes U-15 Boys","U15","Boys"
"San Jose Earthquakes U-16/17 Boys","U17","Boys"
"San Jose Earthquakes U-18/19 Boys","U19","Boys"
"San Juan SC U-12 Boys","U12","Boys"
"San Juan SC U-13 Boys","U13","Boys"
"San Juan SC U-14 Boys","U14","Boys"
"Santa Barbara Soccer Club U-12 Boys","U12","Boys"
"Santa Barbara Soccer Club U-13 Boys","U13","Boys"
"Santa Barbara Soccer Club U-14 Boys","U14","Boys"
"Santa Cruz Breakers Academy U-12 Boys","U12","Boys"
"Santa Cruz Breakers Academy U-13 Boys","U13","Boys"
"Santa Cruz Breakers Academy U-14 Boys","U14","Boys"
"Santa Cruz Breakers Academy U-15 Boys","U15","Boys"
"Santa Cruz Breakers Academy U-16/17 Boys","U17","Boys"
"Santa Cruz Breakers Academy U-18/19 Boys","U19","Boys"
"Santa Rosa United U-12 Boys","U12","Boys"
"Santa Rosa United U-13 Boys","U13","Boys"
"Santa Rosa United U-14 Boys","U14","Boys"
"Seacoast United U-12 Boys","U12","Boys"
"Seacoast United U-13 Boys","U13","Boys"
"Seacoast United U-14 Boys","U14","Boys"
"Seacoast United U-15 Boys","U15","Boys"
"Seacoast United U-16/17 Boys","U17","Boys"
"Seacoast United U-18/19 Boys","U19","Boys"
"Seattle Sounders FC U-15 Boys","U15","Boys"
"Seattle Sounders FC U-16/17 Boys","U17","Boys"
"Seattle Sounders FC U-18/19 Boys","U19","Boys"
"Seattle United I U-12 Boys","U12","Boys"
"Seattle United II U-12 Boys","U12","Boys"
"Seattle United U-13 Boys","U13","Boys"
"Seattle United U-14 Boys","U14","Boys"
"Shattuck - Saint Mary's U-15 Boys","U15","Boys"
"Shattuck - Saint Mary's U-16/17 Boys","U17","Boys"
"Shattuck - Saint Mary's U-18/19 Boys","U19","Boys"
"Silicon Valley Soccer Academy U-12 Boys","U12","Boys"
"Silicon Valley Soccer Academy U-13 Boys","U13","Boys"
"Silicon Valley Soccer Academy U-14 Boys","U14","Boys"
"Silicon Valley Soccer Academy U-15 Boys","U15","Boys"
"Silicon Valley Soccer Academy U-16/17 Boys","U17","Boys"
"Silicon Valley Soccer Academy U-18/19 Boys","U19","Boys"
"Snohomish United U-12 Boys","U12","Boys"
"Snohomish United U-13 Boys","U13","Boys"
"Snohomish United U-14 Boys","U14","Boys"
"Sockers FC Naperville U-12 Boys","U12","Boys"
"Sockers FC U-12 Boys","U12","Boys"
"Sockers FC U-13 Boys","U13","Boys"
"Sockers FC U-14 Boys","U14","Boys"
"Sockers FC U-15 Boys","U15","Boys"
"Sockers FC U-16/17 Boys","U17","Boys"
"Sockers FC U-18/19 Boys","U19","Boys"
"Solar Soccer Club U-12 Boys","U12","Boys"
"Solar Soccer Club U-13 Boys","U13","Boys"
"Solar Soccer Club U-14 Boys","U14","Boys"
"Solar Soccer Club U-15 Boys","U15","Boys"
"Solar Soccer Club U-16/17 Boys","U17","Boys"
"Solar Soccer Club U-18/19 Boys","U19","Boys"
"Southern Soccer Academy U-12 Boys","U12","Boys"
"Southern Soccer Academy U-13 Boys","U13","Boys"
"Southern Soccer Academy U-14 Boys","U14","Boys"
"Sporting Kansas City U-13 Boys","U13","Boys"
"Sporting Kansas City U-14 Boys","U14","Boys"
"Sporting Kansas City U-15 Boys","U15","Boys"
"Sporting Kansas City U-16/17 Boys","U17","Boys"
"Sporting Kansas City U-18/19 Boys","U19","Boys"
"St. Louis Scott Gallagher Illinois U-13 Boys","U13","Boys"
"St. Louis Scott Gallagher Illinois U-14 Boys","U14","Boys"
"St. Louis Scott Gallagher Missouri U-13 Boys","U13","Boys"
"St. Louis Scott Gallagher Missouri U-14 Boys","U14","Boys"
"Star Academy FC U-12 Boys","U12","Boys"
"Strikers FC U-12 Boys","U12","Boys"
"Strikers FC U-13 Boys","U13","Boys"
"Strikers FC U-14 Boys","U14","Boys"
"Strikers FC U-15 Boys","U15","Boys"
"Strikers FC U-16/17 Boys","U17","Boys"
"Strikers FC U-18/19 Boys","U19","Boys"
"TBU Rowdies U-12 Boys","U12","Boys"
"TBU Rowdies U-13 Boys","U13","Boys"
"TBU Rowdies U-14 Boys","U14","Boys"
"TBU Rowdies U-15 Boys","U15","Boys"
"Texans SC Houston U-12 Boys","U12","Boys"
"Texans SC Houston U-13 Boys","U13","Boys"
"Texans SC Houston U-14 Boys","U14","Boys"
"Texans SC Houston U-15 Boys","U15","Boys"
"Texans SC Houston U-16/17 Boys","U17","Boys"
"Texans SC Houston U-18/19 Boys","U19","Boys"
"Toronto FC Academy U-16/17 Boys","U17","Boys"
"Toronto FC Academy U-18/19 Boys","U19","Boys"
"Total Futbol Academy U-12 Boys","U12","Boys"
"TSF Academy U-12 Boys","U12","Boys"
"TSF Academy U-13 Boys","U13","Boys"
"TSF Academy U-14 Boys","U14","Boys"
"United Futbol Academy U-12 Boys","U12","Boys"
"United Futbol Academy U-13 Boys","U13","Boys"
"United Futbol Academy U-14 Boys","U14","Boys"
"United Futbol Academy U-15 Boys","U15","Boys"
"United Futbol Academy U-16/17 Boys","U17","Boys"
"Valeo Futbol Club U-12 Boys","U12","Boys"
"Vancouver Whitecaps FC U-15 Boys","U15","Boys"
"Vancouver Whitecaps FC U-16/17 Boys","U17","Boys"
"Vancouver Whitecaps FC U-18/19 Boys","U19","Boys"
"Vardar U-12 Boys","U12","Boys"
"Vardar U-13 Boys","U13","Boys"
"Vardar U-14 Boys","U14","Boys"
"Vardar U-15 Boys","U15","Boys"
"Vardar U-16/17 Boys","U17","Boys"
"Vardar U-18/19 Boys","U19","Boys"
"Virginia Development Academy U-12 Boys","U12","Boys"
"Virginia Development Academy U-13 Boys","U13","Boys"
"Virginia Development Academy U-14 Boys","U14","Boys"
"Virginia Development Academy U-15 Boys","U15","Boys"
"Virginia Development Academy U-16/17 Boys","U17","Boys"
"Washington Premier FC U-12 Boys","U12","Boys"
"Washington Premier FC U-13 Boys","U13","Boys"
"Washington Premier FC U-14 Boys","U14","Boys"
"Washington Rush U-12 Boys","U12","Boys"
"Washington Rush U-13 Boys","U13","Boys"
"Washington Rush U-14 Boys","U14","Boys"
"Washington Timbers FC Academy U-12 Boys","U12","Boys"
"Washington Timbers FC Academy U-13 Boys","U13","Boys"
"Washington Timbers FC Academy U-14 Boys","U14","Boys"
"Wellington Soccer Club U-12 Boys","U12","Boys"
"West Coast Futbol Club U-12 Boys","U12","Boys"
"Weston FC U-12 Boys","U12","Boys"
"Weston FC U-13 Boys","U13","Boys"
"Weston FC U-14 Boys","U14","Boys"
"Weston FC U-15 Boys","U15","Boys"
"Weston FC U-16/17 Boys","U17","Boys"
"Weston FC U-18/19 Boys","U19","Boys"
"Westside Timbers Soccer Club U-12 Boys","U12","Boys"
"Westside Timbers Soccer Club U-13 Boys","U13","Boys"
"Westside Timbers Soccer Club U-14 Boys","U14","Boys"
"World Class FC U-12 Boys","U12","Boys"
"World Class FC U-13 Boys","U13","Boys"
"World Class FC U-14 Boys","U14","Boys"
