"Field","Street Address","City","State","Zip Code"
"""Mayfield"" (Stanford Palo Alto Community Fields) Mayfield North Field (turf)","2700 El Camino Real ","Palo Alto","CA","94306"
"""Mayfield"" (Stanford Palo Alto Community Fields) Mayfield South Field (turf)","2700 El Camino Real ","Palo Alto","CA","94306"
"53rd Street Community Sports Park Field 1","300 NE 53rd Avenue","  Hillsboro","OR","97124"
"53rd Street Community Sports Park Field 2","300 NE 53rd Avenue","  Hillsboro","OR","97124"
"60 Acres - Field 19","15200 NE 116th St","Redmond","WA","98052"
"60 Acres - Field 21","15200 NE 116th St","Redmond","WA","98052"
"Aquinas College","1700 Fulton St E","Grand Rapids","MI","49506"
"Army and Navy Academy","2605 Carlsbad Boulevard","Carlsbad ","CA","920008"
"Baltimore Polytechnic High School","1400 W. Cold Spring Lane","Baltimore","MD","21209"
"Bear Branch Sportsfields Field 3 (turf)","5205 Research Forest Blvd","The Woodlands","TX","77381"
"Bear Branch Sportsfields Field 7","5205 Research Forest Blvd","The Woodlands","TX","77381"
"Bellarmine College Prepatory Bellarmine College Prep - Brigit Whims Memorial Field - Soccer","960 W. Hedding Street","San Jose","CA","95126"
"Bellevue College","3000 Landerholm Cir SE","Bellevue","WA","98007"
"Bles Park Field 2","44830 Riverside Parkway","Ashburn","VA","20148"
"Burlingame High School Back Field","720 Oak Grove Ave","Burlingame","CA","94010"
"Burlingame High School Stadium Field","680 Carolan Ave","Burlingame","CA","94010"
"Canlan Sportsplex Indoor","28156 West North Pointe Parkway","Lake Barrington","IL","60010"
"Canlan Sportsplex Lake Barrington Canlan Sportsplex Lake Barrington (Indoor Turf Field)","28156 W Northpointe Pkwy","Lake Barrington","IL","60010"
"Cantiague Park","480 West John St","Hicksville","NY","11801"
"Capelli Sport Complex - Field 3 Capelli Sport Complex - Field 3 FS","1659 Wayside Road","Tinton Falls ","NJ","07712"
"Capelli Sport Complex - Field 4 Capelli Sport Complex - Field 4 FS","1659 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex - Field 5","1660 Wayside Road","Tinton Falls","NJ","07712"
"Classic Soccer Park Field 1","1461 Lancaster Road","Manheim","PA","17545"
"Classics Turf","1270 Lititz Rd","Manheim","PA","17545"
"Clay County Soccer Complex Clay County Soccer Complex Fld 16","4387 Lakeshore Drive","Fleming Island","FL","32003"
"Clay County Soccer Complex Clay County soccer Complex Fld 17","4387 Lakeshore Drive","Fleming Island","FL","32003"
"Commissioners Park","3704 111th Street","Naperville","IL","60585"
"Covenant Park Covenant Park #5","4560 Centennial Lane","Ellicott City","MD","21042"
"Dallas Texans Soccer Complex - Lewisville","1021 East Main Street","Lewisville","TX","75057"
"DeAnza College DeAnza College - Soccer Field","21250 Stevens Creek Blvd","Cupertino","CA","95014"
"DeAnza College DeAnza College - Stadium Field","21250 Stevens Creek Blvd","Cupertino","CA","95014"
"Delta Park Field 5","10737 N Union CtÂ ","Portland","OR","97217"
"Delta Park Field 6","10737 N Union CtÂ ","Portland","OR","97217"
"Denver Christian School","3898 S. Teller Street","Lakewood","CO","80235"
"Doyle Field","126 Priest St","Leominster","MA","01453"
"El Camino College","16007 Crenshaw Blvd","Torrane","CA","90506"
"Empire United Soccer Complex","1520 John Street","West Henrietta","NY","14586"
"Evergreen Sportsplex Evergreen Field 1","19623 Evergreen Mills Road","Leesburg","VA","20175"
"Evergreen Sportsplex Evergreen Field 2","19623 Evergreen Mills Road","Leesburg","VA","20175"
"Evergreen Sportsplex Evergreen Field 3","19623 Evergreen Mills Road","Leesburg","VA","20175"
"Evergreen Sportsplex Evergreen Field 4","19623 Evergreen Mills Road","Leesburg","VA","20175"
"FC Stars Facility Field 1","1430 Lunenburg Road","Lancaster","MA","01523"
"Fowler Park Fowler Park: Field 10 (turf)","4110 Carolene Way","Cumming","GA","30040"
"Fowler Park Fowler Park: Field 5 (turf)","4110 Carolene Way","Cumming","GA","30040"
"Francis Parker School","6501 Linda Vista Road","San Diego","CA","92111"
"Fullerton College Grass","321 E Chapman Ave","Fullerton","CA","92832"
"Fullerton College Turf","321 E Chapman Ave","Fullerton","CA","92832"
"Georgia Soccer Park - Field 1","3895 Ben Hill Road","East Point","GA","30349"
"Georgia Soccer Park - Field 2","3895 Ben Hill Road","East Point","GA","30349"
"Georgia Soccer Park - Field 3","3895 Ben Hill Road","East Point","GA","30349"
"Gosling Sportsfields Field 1 (turf)","Marisco Pl","Conroe","TX","77384"
"Gosling Sportsfields Field 3 (turf)","Marisco Pl","Conroe","TX","77384"
"Grand park INDOOR Center","711 E 191st St","Westfield","IN",NA
"Grand Park INDOOR East","711 E 191st St","Westfield","IN",NA
"Grand Park INDOOR West","711 E 191st St","westfield","IN","46074"
"Grand Park Sports Campus - Field 3 (Turf)","711 E. 191st St.","Westfield","IN","46074"
"Grande Sports World Field #1","12684 W Gila Bend Hwy","Casa Grande","AZ","85193"
"Grande Sports World Field #2","12684 W Gila Bend Hwy","Casa Grande","AZ","85193"
"Grandville High School","4700 Canal Ave SW","Grandville","MI","49418"
"Grandville High School Grandville Football Field","4700 Canal Ave SW","Grandville","MI","49418"
"Grandville High School Grandville Soccer Field","4700 Canal Ave SW","Grandville","MI","49418"
"Grist Mill Park #4"," 4710 Mt Vernon Memorial Highway  "," Alexandria","VA","22309"
"Highlands Heritage Regional Park Highlands Heritage Park Stadium Field","9651 S Quebec Street","Highlands Ranch","CO","80130"
"Hofstra University","245 Hofstra Northern Blvd","Hempstead","NY","11549"
"Howison Homestead Park Howison #1 (Turf)","14716 Minnieville Rd","Woodbridge","VA","22193"
"Howison Homestead Park Howison #3 (Turf)","14716 Minnieville Rd","Woodbridge","VA","22193"
"IMG Soccer Complex Field  #11","5650 Bollittieri Blvd","Bradenton","FL","34210"
"IMG Soccer Complex Field  #14","5650 Bollittieri Blvd","Bradenton","FL","34210"
"IMG Soccer Complex Field  #15","5650 Bollittieri Blvd","Bradenton","FL","34210"
"IMG Soccer Complex Field # 16","5691 Bollettieri Boulevard","Bradenton","FL","34210"
"IMG Soccer Complex Field #12","5650 Bollittieri Blvd","Bradenton","FL","34210"
"IMG Soccer Complex Field #2","5650 Bollittieri Blvd","Bradenton","FL","34210"
"Independence High School - Varsity Field","1776 Educational Park Dr","San Jose","CA","95133"
"J.C. Handly Sports Complex Field 6 (Carillon Sports and Family Medicine)","3104 S. Kings Ave","Brandon","FL","33511"
"J.C. Handly Sports Complex Field 7","3104 S. Kings Ave","Brandon","FL","33511"
"James Lick High School","58 N White rd","San Jose","CA","95127"
"Jaycee Park","32501 Pembroke Street","Livonia ","MI","48152"
"Jefferson High School Stadium Field","6996 Mission St","Daly City","94014",NA
"John J Burns Park ","4990 Merrick Road","Massapequa Park","NY","11762"
"Jordan Middle School Jordan MS Field #3","750 North California Avenue","Palo Alto","CA","94303"
"Kansas City Kansas Community College","7250 State Avenue","Kansas City","KS","66112"
"La Canada High School La Canada JV Field - Grass","4463 Oak Grove Dr,","La Canada Flintridge","CA","91011"
"La Canada High School La Canada Stadium - Turf","4463 Oak Grove Dr,","La Canada Flintridge","CA","91011"
"Lake Fairfax Park Lake Fairfax #1","1400 Lake Fairfax Dr","Reston","VA","20190"
"Lakewood Memorial Field","7655 W 10th Ave","Lakewood","CO","80214"
"Langston Hughes Middle School","11401 Ridge Heights Road","Reston","VA","20191"
"Loggers' Run Park Field 1","11185 W Palmetto Park Road","Boca Raton","FL","33428"
"Loggers' Run Park Field 2","11185 W Palmetto Park Road","Boca Raton","FL","33428"
"Loggers' Run Park Field 3","11185 W Palmetto Park Road","Boca Raton","FL","33428"
"Loggers' Run Park Field 4","11185 W Palmetto Park Road","Boca Raton","FL","33428"
"Mahany Park","1545 Pleasant Grove Blvd","Roseville","CA","95747"
"Manhattanville College Turf field","2900 Purchase Street","Purchase ","NY","10577"
"Marian Univertiy","3200 Cold Springs Rd","Indianapolis","IN","46222"
"Maryland SoccerPlex Maryland SoccerPlex 12","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 13","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 2 Grass","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 6","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 8","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 8 Grass","18031 Central Park Circle","Boyds","MD","20841"
"Marymoor Park - Field 2 (Turf)","6046 W Lake Sammamish Parkway NE","Redmond","WA","98052"
"Marymoor Park - Field 3 (Turf)","6046 W Lake Sammamish Parkway NE","Redmond","WA","98052"
"McMaster Athletic Complex","101 W L Walden Dr","Georgetown ","TX","78626"
"Meadowmere Park Meadowmere Park Field 5","3000 Meadowmere Ln","Grapevine","TX",NA
"Meadowmere Park Meadowmere Park Field 6","3000 Meadowmere Ln","Grapevine","TX",NA
"Merritt College","12500 Campus Dr","Oakland","CA","94619"
"Metro North Park Metro North Park 1","4645 Paper Mill Road","Marietta","GA","30067"
"Metro North Park Metro North Park 3","4645 Paper Mill Road","Marietta","GA","30067"
"Metro State University, Regency Athletic Complex","1600 W Colfax","Denver","CO","80204"
"Middle Creek Soccer Park Middle Creek #1","151 Middle Creek Park Ave","Apex","NC","27539"
"Middle Creek Soccer Park Middle Creek #2","151 Middle Creek Park Ave","Apex","NC","27539"
"Mission Bay High School","2475 Grand Ave","San Diego","CA","92109"
"Mitchel Athletic Complex","1 Charles Lindbergh Blvd.","Uniondale","NY","11553"
"MoneyGram Soccer Park Field 5","2200 Walnut Hill Ln","Dallas","TX","75229"
"MoneyGram Soccer Park Field 8","2200 Walnut Hill Ln","Dallas","TX","75229"
"MSA Fieldhouse","5435 28th St Ct SE","Grand Rapids","MI","49546"
"Mustang Soccer Complex Mustang Soccer Lower Field","4680 Camino Tassajara","Danville ","CA","94506"
"Mustang Soccer Complex Mustang Soccer Upper Field","4680 Camino Tassajara","Danville ","CA","94506"
"NEFC Park Field 1","33 Cape Road","Mendon","MA","01747"
"NEFC Park Field 2","33 Cape Road","Mendon","MA","01747"
"Nike Park Turf Field","288 West Diehl Road","Naperville","IL","60563"
"Nolan Catholic High School - Varsity Field","4501 Bridge St","Forth Worth","TX","76103"
"Oak Brook Park District","1450 Forest Gate Road","Oak Brook","IL","60523"
"Oak Brook Polo Fields Field B","700 Oak Brook Road","Oak Brook","IL","60523"
"Oak Park High School Stadium","899 North Kanan Road ","Oak Park","CA","91377"
"Oakland University Dome","887 Pioneer Drive","Rochester","MI","48309"
"Oaks Christian Turf","Oaks Christian Turf",NA,NA,NA
"OC Great Park Irvine","6950 Marine Way  ","Stadium Field ","Irvine ","CA"
"Olathe District Athletic Complex Field 1","20925 159th St.","Olathe","KS","66062"
"Olathe District Athletic Complex Field 2","20925 159th St.","Olathe","KS","66062"
"Orange Coast College","2701 Fairview Rd","Costa Mesa","CA","92626"
"Orange County Great Park Orange County Great Park Field #3","6950 Marine Way"," Irvine","CA","92618"
"Orange County Great Park Orange County Great Park Field #4","6950 Marine Way"," Irvine","CA","92618"
"Orange County Great Park Orange County Great Park Field #6","6950 Marine Way"," Irvine","CA","92618"
"Orange County Great Park Orange County Great Park Field #7","6950 Marine Way"," Irvine","CA","92618"
"OrthoCarolina Sportsplex OrthoCarolina Field #1","OrthoCarolina Field #1",NA,NA,NA
"OrthoCarolina Sportsplex OrthoCarolina Field #2","OrthoCarolina Field #2",NA,NA,NA
"OrthoCarolina Sportsplex OrthoCarolina Field #3","OrthoCarolina Field #3",NA,NA,NA
"OrthoCarolina Sportsplex OrthoCarolina Field #4","OrthoCarolina Field #4",NA,NA,NA
"OrthoCarolina Sportsplex OrthoCarolina Field #5","OrthoCarolina Field #5",NA,NA,NA
"OrthoCarolina Sportsplex OrthoCarolina Field #6","OrthoCarolina Field #6",NA,NA,NA
"Pacific Ridge School","6269 El Fuerte Street","Carlsbad ","CA","92009"
"Pat Patterson Field","2674 44th St SE","Kentwood","MI","49512"
"Patriot High School","10504 Kettle Run Rd","Nokesville","VA","20181"
"PDA Soccer Complex PDA # 5","1 Upperpond Road","Somerset","NJ","08873"
"PDA Soccer Complex PDA #3","1 Upperpond Road","Somerset","NJ","08873"
"PDA Soccer Complex PDA #4","1 Upperpond Road","Somerset","NJ","08873"
"Penn Fusion Turf Field","601 Westtown Road","West Chester","PA","19382"
"Pierce College Shepard Stadium","Pierce College","6201 Winnetka Avenue","Woodland Hills","CA"
"Pleasant Valley Sports Complex Field 14","150 Westpark Court","Camarillo","CA","93012"
"Poinsettia Community Park","6600 Hidden Valley Road","Carlsbad","CA","92011"
"Pope John Paul II High School (Turf)","900 Coit Road","Plano","TX","75075"
"Portola High School","1001 Cadence","Irvine","CA","92618"
"Premier Sports Campus Premier Sports Campus - Field 1","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 10","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 11","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 12","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 13","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 14","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 15","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 16","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 17","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 18","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 19","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 2","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 20","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 21","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 22","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 3","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 4","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 5","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 6","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 7","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 8","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 8-B","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Field 9","5895 Post Boulevard","Lakewood Ranch","FL","34211"
"Premier Sports Campus Premier Sports Campus - Stadium Field","5895 Post Blvd","Lakewood Ranch","FL","34211"
"Preston Park Preston Park Field #1","30634 SE 87th Pl","Preston","WA","98027"
"Preston Park Preston Park Field #2","30634 SE 87th Pl","Preston","WA","98027"
"Prospect High School Prospect High School Back Field","18900 Prospect Road","Saratoga","CA","95070"
"Real Colorado Soccer Complex Real Colorado Soccer Complex F1","12500 Real Parkway","Englewood","CO","80112"
"Real Colorado Soccer Complex Real Colorado Soccer Complex Grass","12500 Real Parkway","Englewood","CO","80112"
"Ross Stewart Soccer Complex","1777 Keenan Bridge Rd","Farmers Branch","TX","75234"
"Round Rock Multipurpose Complex","2001 Kenney Fort","Round Rock ","TX","78665"
"Salt Lake Regional Athletic complex RAC Field 1","2350 Rose Park Lane","Salt Lake City","UT","84116"
"Salt Lake Regional Athletic complex RAC Field 12","2350 Rose Park Lane","Salt Lake City","UT","84116"
"Salt Lake Regional Athletic complex RAC Field 16","2350 Rose Park Lane","Salt Lake City","UT","84116"
"Salt Lake Regional Athletic complex RAC Field 3","2350 Rose Park Lane","Salt Lake City","UT","84116"
"Santa Clara University Santa Clara University - Stanton Field","500 El Camino Real","Santa Clara","CA","95053"
"Scheels Overland Park Soccer Complex Field #11","13700 Switzer Road","Overland Park","KS","66221"
"Scheels Overland Park Soccer Complex Field #12","13700 Switzer Road","Overland Park","KS","66221"
"School of the Holy Child-- turf field","2225 Westchester Avenue ","Rye","NY","10580"
"Schoolcraft College Schoolcraft Dome","18600 Haggerty Rd","Livonia","MI","48152"
"Schoolcraft College Schoolcraft Turf","18600 Haggerty Rd","Livonia","MI","48152"
"Seminole Soccer Complex Field 3","1900 Seminole Soccer Loop","Sanford","FL","32771"
"Seminole Soccer Complex Field 4","1900 Seminole Soccer Loop","Sanford","FL","32771"
"Seminole Soccer Complex Field 5","1900 Seminole Soccer Loop","Sanford","FL","32771"
"Seminole Soccer Complex Field 6","1900 Seminole Soccer Loop","Sanford","FL","32771"
"Seminole Soccer Complex Field 7","1900 Seminole Soccer Loop","Sanford","FL","32771"
"Seminole Soccer Complex Field 8","1900 Seminole Soccer Loop","Sanford","FL","32771"
"Seminole Soccer Complex Stadium Field","1900 Seminole Soccer Loop","Sanford","FL","32771"
"Shattuck-St. Maryâs School Dome","1000 Shumway Avenue","Faribault","MN","55021"
"Shattuck-St. Maryâs School Sports Complex (Turf)","1000 Shumway Avenue","Faribault","MN","55021"
"Sierra College","5000 Rocklin Road","Rocklin","CA","95677"
"SilverLakes Sports Complex Silverlakes #2","5555 Hamner Avenue","Norco","CA","92860"
"SilverLakes Sports Complex Silverlakes #23","5555 Hamner Avenue","Norco","CA","92860"
"SilverLakes Sports Complex Silverlakes #8","5555 Hamner Avenue","Norco","CA","92860"
"So Cal Sports Complex Oceanside Field 28","3302 Senior Center Dr.","Oceanside","CA","92056"
"Soccer Park","212 Old South Path","Huntington Station","NY","11746"
"South Lakes High School","11400 South Lakes Dr","","Reston","VA"
"Spence Eccles Sports Complex Spence Eccles Sports Complex Field 1","1950 Monroe Blvd","Ogden","UT","84401"
"St. Josephs College Field","246 Sunrise Hwy ","South Service Rd","East Patchogue","NY"
"Starfire Sports Starfire Turf Field #1","14800 Starfire Way","Seattle","WA","98188"
"Starfire Sports Starfire Turf Field #11","14800 Starfire Way","Seattle","WA","98188"
"Starfire Sports Starfire Turf Field #2","14800 Starfire Way","Seattle","WA","98188"
"Starfire Sports Starfire Turf Field #3","14800 Starfire Way","Seattle","WA","98188"
"Starfire Sports Starfire Turf Field #4","14800 Starfire Way","Seattle","WA","98188"
"StubHub Center Field 7","18400 Avalon Boulevard","Carson","CA","90746"
"Surf Cup Sports Park Surf Cup Sports Park # 17","14989 Via De La Valle","Del Mar","CA","92014"
"Surf Cup Sports Park Surf Cup Sports Park # 5","14989 Via De La Valle","Del Mar","CA","92014"
"Surf Cup Sports Park Surf Cup Sports Park # 6","14989 Via De La Valle","Del Mar","CA","92014"
"Swope Park Soccer Village Field #5","6310 Lewis Rd","Kansas City","MO","64132"
"Sylvan Lake Park Field C","845 Lake Markham Road","Sanford","FL","32771"
"Sylvan Lake Park Field D","845 Lake Markham Road","Sanford","FL","32771"
"TD Bank Oakwood Soccer Park Nationwide OSP #2 (back field)","521 Glastonbury Turnpike","Portland","CT","06480"
"TD Bank Oakwood Soccer Park TD Bank OSP #1 (front field)","521 Glastonbury Turnpike","Portland","CT","06480"
"Tequesta Park Turf  Tequesta Turf A","600 Indian Trace","Weston","FL","33326"
"Tequesta Park Turf  Tequesta Turf B","600 Indian Trace","Weston","FL","33326"
"Texas Woman's University - Stadium Field","1600 N Bell Ave","Denton","TX","76204"
"The Kingâs Academy","562 N Britton Ave","Sunnyvale","CA","94085"
"Toyota Soccer Center","9200 World Cup Way","Frisco","TX","75033"
"Toyota Soccer Center - Field 5","9200 World Cup Way","Frisco","TX","75034"
"Toyota Soccer Center - Field 6","9200 World Cup Way","Frisco","TX","75034"
"Toyota Soccer Center - Field 7","9200 World Cup Way","Frisco","TX","75034"
"Toyota Soccer Center - Field 8","9200 World Cup Way","Frisco","TX","75034"
"Toyota Sports Complex","555 Maple Ave","Torrance","CA","90503"
"Trailblazer Stadium","10 Kipling St. ","Lakewood","CO","80226"
"Tuckahoe Turf Farms Tuckahoe Turf Farms - Field #15","401 N Myrtle Avenue","Hammonton","NJ","08037"
"UC Irvine","100 Mesa Rd","Irvine","CA","92697"
"Ultimate Soccer Arenas Field 3","867 South Blvd.","Pontiac","MI","48341"
"Ultimate Soccer Arenas Field 4","867 South Blvd.","Pontiac","MI","48341"
"Ultimate Soccer Arenas Outdoor","867 South Blvd.","Pontiac","MI","48341"
"United Sports Training Center Field #4","1426 Marshallton-Thorndale Road","Dowingtown","PA","19355"
"Valley Christian High School Valley Christian Staduim Field","100 Skyway Dr","San Jose","CA","95111"
"Vanguard University","55 Fair Dr,","Costa Mesa","CA","92626"
"Vanguard University (VU)","55 Fair Dr","Costa Mesa","CA","92626"
"Voice of America Park VOA #1","7850 VOA Park Dr.","West Chester","OH","45069"
"Voice of America Park VOA #2","7850 VOA Park Dr.","West Chester","OH","45069"
"Walnut Hills High School South Field","3250 Victory Pkwy","Cincinnati","OH","45207"
"Waukegan Sports Park - Field #8 (Grass) Grass Field #8","3391 W Beach Rd","Waukegan","IL","60085"
"Waukegan Sports Park - Field #8 (Grass) Grass Field #9","3391 W Beach Rd","Waukegan","IL","60085"
"Waukegan Sports Park - Field #8 (Grass) Turf Field","3391 W Beach Rd","Waukegan","IL","60085"
"WCFC Complex - Field 1","175 Old Orangeburg Road","Orangeburg","NY","10962"
"WCFC Complex - Field 2","175 Old Orangeburg Road","Orangeburg","NY","10962"
"WCFC Complex - Field 5","175 Old Orangeburg Road","Orangeburg","NY","10962"
"Weston Vista Park Field 1","18800 Vista Park Boulevard","Weston","FL","33332"
"Weston Vista Park Field 4","18800 Vista Park Boulevard","Weston","FL","33332"
"Withrow High School","2488 Madison Rd","Cincinnati","OH","45208"
"WRAL Soccer Park WRAL #5","7700 Perry Creek Road","Raleigh ","NC","27613"
"WRAL Soccer Park WRAL #6","7700 Perry Creek Road","Raleigh ","NC","27613"
